religion,industry,column,staff_category,breakdown,value
all religions,Haifa Town total,57,Operatives 17 years and over,"Palestinian others, females",4
all religions,Haifa Town total,58,Operatives 17 years and over,"non-Palestinian, males",229
all religions,Haifa Town total,59,Operatives 17 years and over,"non-Palestinian, females",23
all religions,I. Quarries and hard rocks,2,total population engaged,persons,19
all religions,I. Quarries and hard rocks,3,total population engaged,males,19
all religions,I. Quarries and hard rocks,4,total population engaged,females,0
all religions,I. Quarries and hard rocks,5,Directional & supervising staff — managers,"persons, total",3
all religions,I. Quarries and hard rocks,6,Directional & supervising staff — managers,"persons, males",3
all religions,I. Quarries and hard rocks,7,Directional & supervising staff — managers,"persons, females",0
all religions,I. Quarries and hard rocks,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
all religions,I. Quarries and hard rocks,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,I. Quarries and hard rocks,10,Directional & supervising staff — managers,"Palestinian Jews, males",3
all religions,I. Quarries and hard rocks,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,I. Quarries and hard rocks,12,Directional & supervising staff — managers,"Palestinian others, males",0
all religions,I. Quarries and hard rocks,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,I. Quarries and hard rocks,14,Directional & supervising staff — managers,"non-Palestinian, males",0
all religions,I. Quarries and hard rocks,15,Directional & supervising staff — managers,"non-Palestinian, females",0
all religions,I. Quarries and hard rocks,16,Directional & supervising staff — supervising & technical,"persons, total",2
all religions,I. Quarries and hard rocks,17,Directional & supervising staff — supervising & technical,"persons, males",2
all religions,I. Quarries and hard rocks,18,Directional & supervising staff — supervising & technical,"persons, females",0
all religions,I. Quarries and hard rocks,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
all religions,I. Quarries and hard rocks,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,I. Quarries and hard rocks,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",1
all religions,I. Quarries and hard rocks,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
all religions,I. Quarries and hard rocks,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
all religions,I. Quarries and hard rocks,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,I. Quarries and hard rocks,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",1
all religions,I. Quarries and hard rocks,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,I. Quarries and hard rocks,27,Clerical staff — clerical,"persons, total",0
all religions,I. Quarries and hard rocks,28,Clerical staff — clerical,"persons, males",0
all religions,I. Quarries and hard rocks,29,Clerical staff — clerical,"persons, females",0
all religions,I. Quarries and hard rocks,30,Clerical staff — clerical,"Palestinian Arabs, males",0
all religions,I. Quarries and hard rocks,31,Clerical staff — clerical,"Palestinian Arabs, females",0
all religions,I. Quarries and hard rocks,32,Clerical staff — clerical,"Palestinian Jews, males",0
all religions,I. Quarries and hard rocks,33,Clerical staff — clerical,"Palestinian Jews, females",0
all religions,I. Quarries and hard rocks,34,Clerical staff — clerical,"Palestinian others, males",0
all religions,I. Quarries and hard rocks,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,I. Quarries and hard rocks,36,Clerical staff — clerical,"non-Palestinian, males",0
all religions,I. Quarries and hard rocks,37,Clerical staff — clerical,"non-Palestinian, females",0
all religions,I. Quarries and hard rocks,38,Operatives under 17 years,"persons, total",0
all religions,I. Quarries and hard rocks,39,Operatives under 17 years,"persons, males",0
all religions,I. Quarries and hard rocks,40,Operatives under 17 years,"persons, females",0
all religions,I. Quarries and hard rocks,41,Operatives under 17 years,"Palestinian Arabs, males",0
all religions,I. Quarries and hard rocks,42,Operatives under 17 years,"Palestinian Arabs, females",0
all religions,I. Quarries and hard rocks,43,Operatives under 17 years,"Palestinian Jews, males",0
all religions,I. Quarries and hard rocks,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,I. Quarries and hard rocks,45,Operatives under 17 years,"Palestinian others, males",0
all religions,I. Quarries and hard rocks,46,Operatives under 17 years,"Palestinian others, females",0
all religions,I. Quarries and hard rocks,47,Operatives under 17 years,"non-Palestinian, males",0
all religions,I. Quarries and hard rocks,48,Operatives under 17 years,"non-Palestinian, females",0
all religions,I. Quarries and hard rocks,49,Operatives 17 years and over,"persons, total",14
all religions,I. Quarries and hard rocks,50,Operatives 17 years and over,"persons, males",14
all religions,I. Quarries and hard rocks,51,Operatives 17 years and over,"persons, females",0
all religions,I. Quarries and hard rocks,52,Operatives 17 years and over,"Palestinian Arabs, males",0
all religions,I. Quarries and hard rocks,53,Operatives 17 years and over,"Palestinian Arabs, females",0
all religions,I. Quarries and hard rocks,54,Operatives 17 years and over,"Palestinian Jews, males",8
all religions,I. Quarries and hard rocks,55,Operatives 17 years and over,"Palestinian Jews, females",0
all religions,I. Quarries and hard rocks,56,Operatives 17 years and over,"Palestinian others, males",0
all religions,I. Quarries and hard rocks,57,Operatives 17 years and over,"Palestinian others, females",0
all religions,I. Quarries and hard rocks,58,Operatives 17 years and over,"non-Palestinian, males",6
all religions,I. Quarries and hard rocks,59,Operatives 17 years and over,"non-Palestinian, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,2,total population engaged,persons,3
all religions,II. Salt and extraction of bitumen from Dead Sea,3,total population engaged,males,3
all religions,II. Salt and extraction of bitumen from Dead Sea,4,total population engaged,females,0
all religions,II. Salt and extraction of bitumen from Dead Sea,5,Directional & supervising staff — managers,"persons, total",0
all religions,II. Salt and extraction of bitumen from Dead Sea,6,Directional & supervising staff — managers,"persons, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,7,Directional & supervising staff — managers,"persons, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,12,Directional & supervising staff — managers,"Palestinian others, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,14,Directional & supervising staff — managers,"non-Palestinian, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,15,Directional & supervising staff — managers,"non-Palestinian, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,16,Directional & supervising staff — supervising & technical,"persons, total",0
all religions,II. Salt and extraction of bitumen from Dead Sea,17,Directional & supervising staff — supervising & technical,"persons, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,18,Directional & supervising staff — supervising & technical,"persons, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,27,Clerical staff — clerical,"persons, total",0
all religions,II. Salt and extraction of bitumen from Dead Sea,28,Clerical staff — clerical,"persons, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,29,Clerical staff — clerical,"persons, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,30,Clerical staff — clerical,"Palestinian Arabs, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,31,Clerical staff — clerical,"Palestinian Arabs, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,32,Clerical staff — clerical,"Palestinian Jews, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,33,Clerical staff — clerical,"Palestinian Jews, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,34,Clerical staff — clerical,"Palestinian others, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,36,Clerical staff — clerical,"non-Palestinian, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,37,Clerical staff — clerical,"non-Palestinian, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,38,Operatives under 17 years,"persons, total",0
all religions,II. Salt and extraction of bitumen from Dead Sea,39,Operatives under 17 years,"persons, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,40,Operatives under 17 years,"persons, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,41,Operatives under 17 years,"Palestinian Arabs, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,42,Operatives under 17 years,"Palestinian Arabs, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,43,Operatives under 17 years,"Palestinian Jews, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,45,Operatives under 17 years,"Palestinian others, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,46,Operatives under 17 years,"Palestinian others, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,47,Operatives under 17 years,"non-Palestinian, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,48,Operatives under 17 years,"non-Palestinian, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,49,Operatives 17 years and over,"persons, total",3
all religions,II. Salt and extraction of bitumen from Dead Sea,50,Operatives 17 years and over,"persons, males",3
all religions,II. Salt and extraction of bitumen from Dead Sea,51,Operatives 17 years and over,"persons, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,52,Operatives 17 years and over,"Palestinian Arabs, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,53,Operatives 17 years and over,"Palestinian Arabs, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,54,Operatives 17 years and over,"Palestinian Jews, males",2
all religions,II. Salt and extraction of bitumen from Dead Sea,55,Operatives 17 years and over,"Palestinian Jews, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,56,Operatives 17 years and over,"Palestinian others, males",0
all religions,II. Salt and extraction of bitumen from Dead Sea,57,Operatives 17 years and over,"Palestinian others, females",0
all religions,II. Salt and extraction of bitumen from Dead Sea,58,Operatives 17 years and over,"non-Palestinian, males",1
all religions,II. Salt and extraction of bitumen from Dead Sea,59,Operatives 17 years and over,"non-Palestinian, females",0
all religions,III. Textile industries,2,total population engaged,persons,1
all religions,III. Textile industries,3,total population engaged,males,1
all religions,III. Textile industries,4,total population engaged,females,0
all religions,III. Textile industries,5,Directional & supervising staff — managers,"persons, total",0
all religions,III. Textile industries,6,Directional & supervising staff — managers,"persons, males",0
all religions,III. Textile industries,7,Directional & supervising staff — managers,"persons, females",0
all religions,III. Textile industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
all religions,III. Textile industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,III. Textile industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
all religions,III. Textile industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,III. Textile industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
all religions,III. Textile industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,III. Textile industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
all religions,III. Textile industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
all religions,III. Textile industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
all religions,III. Textile industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
all religions,III. Textile industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
all religions,III. Textile industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
all religions,III. Textile industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,III. Textile industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
all religions,III. Textile industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
all religions,III. Textile industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
all religions,III. Textile industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,III. Textile industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
all religions,III. Textile industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,III. Textile industries,27,Clerical staff — clerical,"persons, total",0
all religions,III. Textile industries,28,Clerical staff — clerical,"persons, males",0
all religions,III. Textile industries,29,Clerical staff — clerical,"persons, females",0
all religions,III. Textile industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
all religions,III. Textile industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
all religions,III. Textile industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
all religions,III. Textile industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
all religions,III. Textile industries,34,Clerical staff — clerical,"Palestinian others, males",0
all religions,III. Textile industries,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,III. Textile industries,36,Clerical staff — clerical,"non-Palestinian, males",0
all religions,III. Textile industries,37,Clerical staff — clerical,"non-Palestinian, females",0
all religions,III. Textile industries,38,Operatives under 17 years,"persons, total",0
all religions,III. Textile industries,39,Operatives under 17 years,"persons, males",0
all religions,III. Textile industries,40,Operatives under 17 years,"persons, females",0
all religions,III. Textile industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
all religions,III. Textile industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
all religions,III. Textile industries,43,Operatives under 17 years,"Palestinian Jews, males",0
all religions,III. Textile industries,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,III. Textile industries,45,Operatives under 17 years,"Palestinian others, males",0
all religions,III. Textile industries,46,Operatives under 17 years,"Palestinian others, females",0
all religions,III. Textile industries,47,Operatives under 17 years,"non-Palestinian, males",0
all religions,III. Textile industries,48,Operatives under 17 years,"non-Palestinian, females",0
all religions,III. Textile industries,49,Operatives 17 years and over,"persons, total",1
all religions,III. Textile industries,50,Operatives 17 years and over,"persons, males",1
all religions,III. Textile industries,51,Operatives 17 years and over,"persons, females",0
all religions,III. Textile industries,52,Operatives 17 years and over,"Palestinian Arabs, males",0
all religions,III. Textile industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
all religions,III. Textile industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
all religions,III. Textile industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
all religions,III. Textile industries,56,Operatives 17 years and over,"Palestinian others, males",0
all religions,III. Textile industries,57,Operatives 17 years and over,"Palestinian others, females",0
all religions,III. Textile industries,58,Operatives 17 years and over,"non-Palestinian, males",1
all religions,III. Textile industries,59,Operatives 17 years and over,"non-Palestinian, females",0
all religions,IV. Leather industries,2,total population engaged,persons,0
all religions,IV. Leather industries,3,total population engaged,males,0
all religions,IV. Leather industries,4,total population engaged,females,0
all religions,IV. Leather industries,5,Directional & supervising staff — managers,"persons, total",0
all religions,IV. Leather industries,6,Directional & supervising staff — managers,"persons, males",0
all religions,IV. Leather industries,7,Directional & supervising staff — managers,"persons, females",0
all religions,IV. Leather industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
all religions,IV. Leather industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,IV. Leather industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
all religions,IV. Leather industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,IV. Leather industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
all religions,IV. Leather industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,IV. Leather industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
all religions,IV. Leather industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
all religions,IV. Leather industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
all religions,IV. Leather industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
all religions,IV. Leather industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
all religions,IV. Leather industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
all religions,IV. Leather industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,IV. Leather industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
all religions,IV. Leather industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
all religions,IV. Leather industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
all religions,IV. Leather industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,IV. Leather industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
all religions,IV. Leather industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,IV. Leather industries,27,Clerical staff — clerical,"persons, total",0
all religions,IV. Leather industries,28,Clerical staff — clerical,"persons, males",0
all religions,IV. Leather industries,29,Clerical staff — clerical,"persons, females",0
all religions,IV. Leather industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
all religions,IV. Leather industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
all religions,IV. Leather industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
all religions,IV. Leather industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
all religions,IV. Leather industries,34,Clerical staff — clerical,"Palestinian others, males",0
all religions,IV. Leather industries,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,IV. Leather industries,36,Clerical staff — clerical,"non-Palestinian, males",0
all religions,IV. Leather industries,37,Clerical staff — clerical,"non-Palestinian, females",0
all religions,IV. Leather industries,38,Operatives under 17 years,"persons, total",0
all religions,IV. Leather industries,39,Operatives under 17 years,"persons, males",0
all religions,IV. Leather industries,40,Operatives under 17 years,"persons, females",0
all religions,IV. Leather industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
all religions,IV. Leather industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
all religions,IV. Leather industries,43,Operatives under 17 years,"Palestinian Jews, males",0
all religions,IV. Leather industries,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,IV. Leather industries,45,Operatives under 17 years,"Palestinian others, males",0
all religions,IV. Leather industries,46,Operatives under 17 years,"Palestinian others, females",0
all religions,IV. Leather industries,47,Operatives under 17 years,"non-Palestinian, males",0
all religions,IV. Leather industries,48,Operatives under 17 years,"non-Palestinian, females",0
all religions,IV. Leather industries,49,Operatives 17 years and over,"persons, total",0
all religions,IV. Leather industries,50,Operatives 17 years and over,"persons, males",0
all religions,IV. Leather industries,51,Operatives 17 years and over,"persons, females",0
all religions,IV. Leather industries,52,Operatives 17 years and over,"Palestinian Arabs, males",0
all religions,IV. Leather industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
all religions,IV. Leather industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
all religions,IV. Leather industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
all religions,IV. Leather industries,56,Operatives 17 years and over,"Palestinian others, males",0
all religions,IV. Leather industries,57,Operatives 17 years and over,"Palestinian others, females",0
all religions,IV. Leather industries,58,Operatives 17 years and over,"non-Palestinian, males",0
all religions,IV. Leather industries,59,Operatives 17 years and over,"non-Palestinian, females",0
all religions,V. Wood industries,2,total population engaged,persons,28
all religions,V. Wood industries,3,total population engaged,males,28
all religions,V. Wood industries,4,total population engaged,females,0
all religions,V. Wood industries,5,Directional & supervising staff — managers,"persons, total",12
all religions,V. Wood industries,6,Directional & supervising staff — managers,"persons, males",12
all religions,V. Wood industries,7,Directional & supervising staff — managers,"persons, females",0
all religions,V. Wood industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
all religions,V. Wood industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,V. Wood industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",7
all religions,V. Wood industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,V. Wood industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
all religions,V. Wood industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,V. Wood industries,14,Directional & supervising staff — managers,"non-Palestinian, males",5
all religions,V. Wood industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
all religions,V. Wood industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
all religions,V. Wood industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
all religions,V. Wood industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
all religions,V. Wood industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
all religions,V. Wood industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,V. Wood industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
all religions,V. Wood industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
all religions,V. Wood industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
all religions,V. Wood industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,V. Wood industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
all religions,V. Wood industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,V. Wood industries,27,Clerical staff — clerical,"persons, total",0
all religions,V. Wood industries,28,Clerical staff — clerical,"persons, males",0
all religions,V. Wood industries,29,Clerical staff — clerical,"persons, females",0
all religions,V. Wood industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
all religions,V. Wood industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
all religions,V. Wood industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
all religions,V. Wood industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
all religions,V. Wood industries,34,Clerical staff — clerical,"Palestinian others, males",0
all religions,V. Wood industries,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,V. Wood industries,36,Clerical staff — clerical,"non-Palestinian, males",0
all religions,V. Wood industries,37,Clerical staff — clerical,"non-Palestinian, females",0
all religions,V. Wood industries,38,Operatives under 17 years,"persons, total",0
all religions,V. Wood industries,39,Operatives under 17 years,"persons, males",0
all religions,V. Wood industries,40,Operatives under 17 years,"persons, females",0
all religions,V. Wood industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
all religions,V. Wood industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
all religions,V. Wood industries,43,Operatives under 17 years,"Palestinian Jews, males",0
all religions,V. Wood industries,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,V. Wood industries,45,Operatives under 17 years,"Palestinian others, males",0
all religions,V. Wood industries,46,Operatives under 17 years,"Palestinian others, females",0
all religions,V. Wood industries,47,Operatives under 17 years,"non-Palestinian, males",0
all religions,V. Wood industries,48,Operatives under 17 years,"non-Palestinian, females",0
all religions,V. Wood industries,49,Operatives 17 years and over,"persons, total",16
all religions,V. Wood industries,50,Operatives 17 years and over,"persons, males",16
