date	end	kind	label	scope	note	source
1940-11-01	1948-05-15	migration	Atlit detention camp in use	Atlit, near Haifa	Intercepted ma'apilim are held at the camp south of Haifa. Notebook 25 of this register is the camp's own admission book for 1940.	Survey of Palestine (1946), vol. I
1942-02-24	1942-02-24	disaster	The Struma sinks	Black Sea	The refugee ship, refused entry to Palestine, is torpedoed after being towed from Istanbul; one survivor of some 780. A turning point in Mandate immigration politics.	Survey of Palestine (1946), vol. I
1944-01-01	1945-12-31	health	Plague years in Palestine	Palestine	Bubonic plague is reported in the country, with Haifa among the affected districts; the Government Hospital's plague department dates from 1942.	Annual Report of the Department of Health, 1944
1945-11-13	1945-11-13	policy	Bevin announces the Anglo-American Committee	Palestine / London	Immigration remains capped; the announcement is followed by riots in Tel Aviv and elsewhere.	Survey of Palestine (1946), vol. I
1946-06-29	1946-06-29	conflict	Black Sabbath	Palestine	Mass British arrests and searches across the country against the Jewish Agency and the Haganah.	Survey of Palestine (1946), vol. I
1946-07-22	1946-07-22	conflict	The King David Hotel bombing	Jerusalem	The Irgun destroys the hotel's south wing; 91 killed. Followed by curfews and searches in Haifa among other cities.	Survey of Palestine (1946), vol. I
1947-07-18	1947-07-18	migration	The Exodus 1947 is brought into Haifa	Haifa	The intercepted immigrant ship is escorted into Haifa port; the wounded are landed and the rest deported back to Europe. The register's 1947 notebooks cover these weeks.	Palestine Post, 19-20 Jul 1947
1947-11-29	1947-11-29	policy	The UN partition resolution	Lake Success / Palestine	Resolution 181 recommends partition; fighting begins in the country within days and does not stop.	UN General Assembly Resolution 181 (II)
1947-12-30	1947-12-30	conflict	The Haifa refinery killings	Haifa	An Irgun bomb at the refinery gate is followed by the killing of Jewish refinery workers by Arab workers, and by reprisals. Among the deadliest days in the city's own war.	Palestine Post, 31 Dec 1947
1948-04-21	1948-04-22	conflict	The battle for Haifa	Haifa	Haganah operation Bi'ur Hametz takes the city over two days; the Arab population largely leaves by sea and road. The register's last notebook stops in these weeks.	Survey of Palestine and contemporary press
1948-05-14	1948-05-15	policy	The Mandate ends	Palestine	The British administration withdraws; the State of Israel is declared. The Government Hospital passes to the municipality on 2 May.	Palestine Gazette; contemporary press
