city	spelling	n_records	kima_id	kima_name_rom	wikidata_qid	qid_source	wikidata_direct	decision	grade	confidence	decided_by	note	date
Haifa|Hadar Hacarmel	Haifa|Hadar Hacarmel	6	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump	Q41621	matched	C_review		human	pipe policy: prefer the finer reading	2026-08-06
Kfar Atta	Kfar Atta	6	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Kinereth	Kinereth	6						unmatched-ambiguous	C_review		human		2026-08-06
Kinneret	Kinneret	6					Q5533392	unmatched-ambiguous	C_review		human	Kevutsa vs Moshava undecidable	2026-08-06
Kiryat Haroshet	Kiryat Haroshet	6	21920	Kiryat Haroshet (Israel)	Q1743479	kima-dump	Q139304838	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q1743479 vs direct Wikidata Q139304838	2026-08-06
Netanya	Netanya	6	24	Netanya (Israel)	Q192225	kima-dump	Q192225	matched	C_review		agent		2026-08-06
Rosh Pina	Rosh Pina	6	14873	Rosh Pina (Israel)	Q525649	kima-dump	Q525649	matched	A_autolink	0.95	auto		2026-08-06
Waldheim	Waldheim	6					Q1917497	unmatched-no-kima-entry	A_autolink		agent	Galilee Templer colony; Kima has only the Saxony Waldheim	2026-08-06
Akka	Akka	5	71	Acre (Israel)	Q126084	kima-dump	Q126084	matched	C_review		agent	Arabic naming tradition of Acre; value kept distinct	2026-08-06
Bassa	Bassa	5	21539	Bassah (Israel)				matched	C_review		human	al-Bassa, western Galilee	2026-08-06
Kfar Tabor	Kfar Tabor	5	1666	Kefar Tavor (Israel)	Q1186956	kima-dump	Q1186956	matched	A_autolink	0.95	auto		2026-08-06
Kibutz	Kibutz	5					Q586687	unmatched-junk	C_review		agent	generic word	2026-08-06
Mishmar HaEmek	Mishmar HaEmek	5	214	Mishmar Ha'emek (Israel)	Q1938721	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Mount Carmel	Mount Carmel	5						unmatched-ambiguous	A_autolink		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Nathania	Nathania	5	24	Netanya (Israel)	Q192225	kima-dump	Q192225	matched	C_review		agent		2026-08-06
Nathanya	Nathanya	5	24	Netanya (Israel)	Q192225	kima-dump	Q192225	matched	A_autolink	0.95	auto		2026-08-06
Tire	Tire	5	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q630533	matched	outside-queue		human	user ruling: Tira/Tireh = al-Tira; held for human review: QID conflict - kima-dump Q168215 vs direct Wikidata Q630533	2026-08-06
Zammarin	Zammarin	5	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Zikhron Yacov	Zikhron Yacov	5	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Degania	Degania	4	892	Deganya Alef (Israel)	Q2371396	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Gan Shmuel	Gan Shmuel	4	904	Gan Shemu'el (Israel)	Q166857	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Gedera	Gedera	4	341	Gedera (Israel)	Q921505	kima-dump	Q921505	matched	C_review		agent		2026-08-06
Had. Hac	Had. Hac	4	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Is	Is	4					Q189	unmatched-junk	C_review		agent		2026-08-06
Kishon	Kishon	4						unmatched-no-kima-entry	C_review		human	Kishon harbour area; river entity rejected	2026-08-06
Migdal	Migdal	4	6904	Migdal (Israel)	Q2916182	kima-dump	Q2916182	matched	C_review		agent	Galilee Migdal (catchment), not Ashkelon's	2026-08-06
Mt. Carmel	Mt. Carmel	4					Q12894637	unmatched-ambiguous	C_review		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Naharia	Naharia	4	39	Nahariyya (Israel)	Q167749	kima-dump	Q167749	matched	C_review		agent		2026-08-06
Rishon LeZion	Rishon LeZion	4	493	Rishon Letsiyon (Israel)	Q201051	kima-dump	Q201051	matched	A_autolink	0.95	auto		2026-08-06
Sdedera	Sdedera	4	858	Hadera (Israel)	Q471886	kima-dump		matched	C_review		human	user ruling: garbled Hadera	2026-08-06
Tabor Street	Tabor Street	4						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Wadi el Hawareth	Wadi el Hawareth	4						unmatched-ambiguous	C_review		human	held for human review: Hefer Valley region entity; suggested #4986	2026-08-06
Athlit|Atlit	Athlit|Atlit	3	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Beit Galim	Beit Galim	3	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump		matched	C_review		agent	Bat Galim	2026-08-06
Beit Gan	Beit Gan	3						unmatched-no-kima-entry	C_review		human	Beit Gan by Yavne'el; no Kima entry	2026-08-06
Had. Hac.|Hadar Hacarmel	Had. Hac.|Hadar Hacarmel	3	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Hedera|Hadera	Hedera|Hadera	3	858	Hadera (Israel)	Q471886	kima-dump	Q471886	matched	A_autolink	0.95	auto		2026-08-06
Jenin	Jenin	3	79775	Jenin (West Bank)	Q374748	kima-dump	Q374748	matched	C_review		agent		2026-08-06
Kefutz Mizra	Kefutz Mizra	3	224	Mizra (Israel)	Q2889536	kima-dump		matched	C_review		agent	kibbutz Mizra	2026-08-06
Kfar Hasidim	Kfar Hasidim	3	830	Kefar Hasidim (Israel)	Q135425	kima-dump	Q135425	matched	C_review		agent		2026-08-06
Kfar Kharoshet	Kfar Kharoshet	3	21749	Kefar Haroshet (Israel)				matched	C_review		agent	Kefar Haroshet, distinct from Kiryat Haroshet	2026-08-06
Kibutz Affikim|Affikim	Kibutz Affikim|Affikim	3	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Kirjat Hayim	Kirjat Hayim	3	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump		matched	C_review		agent		2026-08-06
Kiryat Kharoshet	Kiryat Kharoshet	3	21920	Kiryat Haroshet (Israel)	Q1743479	kima-dump		matched	C_review		agent		2026-08-06
Kiryat Naim	Kiryat Naim	3	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump		matched	C_review		human	read as Kiryat Haim (H/N misreading)	2026-08-06
Meshek Yagur	Meshek Yagur	3	771	Yagur (Israel)	Q586687	kima-dump		matched	C_review		agent		2026-08-06
Mitzpa	Mitzpa	3	21700	Mitspa (Israel)	Q2776808	kima-dump	Q2776808	matched	C_review		agent	Mitzpa near Tiberias	2026-08-06
Samakh	Samakh	3	16228	Tsemah (Israel)	Q2908710	kima-dump	Q2908710	matched	A_autolink	0.95	auto		2026-08-06
Tel Yosef	Tel Yosef	3	186	Tel-Yosef (Israel)	Q2917286	kima-dump	Q2917286	matched	A_autolink	0.95	auto		2026-08-06
Tirat Carmel	Tirat Carmel	3	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q168215	matched	outside-queue		human		2026-08-06
Yavne'el	Yavne'el	3	18477	Yavne'el (Israel)	Q1676894	kima-dump	Q1676894	matched	A_autolink	0.95	auto		2026-08-06
[ambiguous_city]	[ambiguous_city]	3						unmatched-junk	C_review		agent	pipeline marker	2026-08-06
Affikin	Affikin	2	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Ardel Yahud|Ard al-Yahud	Ardel Yahud|Ard al-Yahud	2						unmatched-no-kima-entry	C_review		agent		2026-08-06
Athlit|Athlit Camp	Athlit|Athlit Camp	2	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Athlit|Athlit Police station	Athlit|Athlit Police station	2	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Balfuria	Balfuria	2	20640	Balfuriyya (Israel)	Q2479614	kima-dump		matched	C_review		agent		2026-08-06
Bat Shlomo	Bat Shlomo	2	587	Bat Shelomo (Israel)	Q2889218	kima-dump	Q2889218	matched	C_review		agent		2026-08-06
Beisan	Beisan	2	613	Bet She'an (Israel)	Q152368	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Benyamina|Binyamina	Benyamina|Binyamina	2	21551	Binyamina (Israel)	Q863886	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Bethlehem	Bethlehem	2					Q5776	unmatched-ambiguous	C_review		agent	likely Bethlehem of Galilee (absent from Kima)	2026-08-06
Carmel	Carmel	2						unmatched-ambiguous	A_autolink		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Degania B	Degania B	2	893	Deganya Bet (Israel)	Q1022506	kima-dump		matched	C_review		agent	explicit Bet	2026-08-06
Ekron	Ekron	2	21515	Ekron (Israel)	Q1914736	wikidata-reconciled	Q1914736	matched	C_review		agent	modern Ekron village	2026-08-06
German Colony	German Colony	2	21139	German Colony (Haifa, Israel)	Q2413425	wikidata-reconciled	Q2413425	matched	C_review		agent	Haifa's German Colony (catchment)	2026-08-06
Ghedera	Ghedera	2						unmatched-ambiguous	C_review		human	held for human review: Hadera vs Gedera	2026-08-06
Ginjar	Ginjar	2	929	Ginnegar (Israel)	Q2776845	kima-dump		matched	C_review		agent	Ginegar	2026-08-06
Givat Ada	Givat Ada	2	18292	Giv'at Ada (Israel)	Q7189221	kima-dump	Q7189221	matched	A_autolink	0.95	auto		2026-08-06
Givat Brenner	Givat Brenner	2	751	Giv'at Brener (Israel)	Q476835	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Givat Haim	Givat Haim	2	910	Giv'at Hayyim (Israel)	Q2776930	kima-dump		matched	C_review		agent	pre-split Giv'at Hayyim	2026-08-06
Hacarmel	Hacarmel	2						unmatched-ambiguous	C_review		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Had Stae	Had Stae	2	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent	read as Had. Hac. (Hadar Hacarmel)	2026-08-06
Had. Stac	Had. Stac	2	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent	read as Had. Hac. (Hadar Hacarmel)	2026-08-06
Hadar HaCarmel (Haifa)	Hadar HaCarmel (Haifa)	2	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Hadar Hacarmel / Haifa	Hadar Hacarmel / Haifa	2	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Herzl Street	Herzl Street	2						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Huleh	Huleh	2					Q5866252	unmatched-ambiguous	A_autolink		human	held for human review: Hula Valley region entity; suggested #3327	2026-08-06
Jaffa|Co. C.I.D. Jaffa	Jaffa|Co. C.I.D. Jaffa	2	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	kima-dump	Q180294	matched	A_autolink	0.95	auto		2026-08-06
Kfar Tavor	Kfar Tavor	2	1666	Kefar Tavor (Israel)	Q1186956	kima-dump	Q1186956	matched	A_autolink	0.95	auto		2026-08-06
Kfar Yehezkiel	Kfar Yehezkiel	2	832	Kefar Yehezkel (Israel)	Q2890846	kima-dump		matched	C_review		agent		2026-08-06
Khalisa	Khalisa	2	485	Kiryat Shemona (Israel)	Q327413	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kibbutz Hashomer	Kibbutz Hashomer	2						unmatched-ambiguous	C_review		agent		2026-08-06
Kibutz Affiking|Kibutz Affikim	Kibutz Affiking|Kibutz Affikim	2	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Kineret|Kinneret	Kineret|Kinneret	2						unmatched-ambiguous	C_review		human		2026-08-06
Kiryat Gesher	Kiryat Gesher	2						unmatched-ambiguous	C_review		agent		2026-08-06
Kurdaneh	Kurdaneh	2						unmatched-no-kima-entry	C_review		agent	Kurdani, by the Na'aman springs	2026-08-06
Mishmar Haemek	Mishmar Haemek	2	214	Mishmar Ha'emek (Israel)	Q1938721	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Nablus	Nablus	2	310	Nablus (West Bank)	Q214178	kima-dump	Q214178	matched	A_autolink	0.95	auto		2026-08-06
Nachla	Nachla	2					Q25492963	unmatched-ambiguous	C_review		agent		2026-08-06
Ness Ziona	Ness Ziona	2	15	Nes Tsiyyona (Israel)	Q168162	kima-dump	Q168162	matched	C_review		agent		2026-08-06
Neve Shaanan	Neve Shaanan	2	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump	Q2919842	matched	C_review		agent		2026-08-06
Nur El Shams|Nur Shams	Nur El Shams|Nur Shams	2	76253	Nur Shams Camp (West Bank)	Q7069998	kima-dump		matched	C_review		agent	Nur Shams detention camp	2026-08-06
P. & P. Zichron Yacob	P. & P. Zichron Yacob	2	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Rehovot	Rehovot	2	562	Rehovot (Israel)	Q207350	kima-dump	Q207350	matched	C_review		agent		2026-08-06
Rosh Pinna	Rosh Pinna	2	14873	Rosh Pina (Israel)	Q525649	kima-dump	Q525649	matched	C_review		agent		2026-08-06
Sdedead	Sdedead	2	858	Hadera (Israel)	Q471886	kima-dump		matched	C_review		human	user ruling: garbled Hadera	2026-08-06
Sh.Khunat Oadim	Sh.Khunat Oadim	2						unmatched-no-kima-entry	C_review		agent	Shkhunat Ovdim	2026-08-06
Shafa Amr	Shafa Amr	2	261	Shefar'am (Israel)	Q990657	kima-dump		matched	C_review		agent	Shefa-Amr	2026-08-06
Tantoura	Tantoura	2	21005	Tantura (Israel)	Q2100836	kima-dump		matched	C_review		agent	Tantura on the Carmel coast	2026-08-06
Tireh (Acre Sub District)	Tireh (Acre Sub District)	2	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human	linked per ruling; note the clerk's Acre Sub District qualifier	2026-08-06
Yajouj	Yajouj	2	771	Yagur (Israel)	Q586687	kima-dump		matched	C_review		agent	garbled Yajour	2026-08-06
Yajour|Yajur	Yajour|Yajur	2	771	Yagur (Israel)	Q586687	kima-dump		matched	C_review		agent		2026-08-06
Zichron Jacob|Zichron Yaakov	Zichron Jacob|Zichron Yaakov	2	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
002.2	002.2	1						unmatched-junk	C_review		agent		2026-08-06
Abu Khalil	Abu Khalil	1						unmatched-ambiguous	C_review		agent		2026-08-06
Abu Shousheh	Abu Shousheh	1						unmatched-ambiguous	C_review		agent	Kima's Abu Shusha is the Gezer one; the Mishmar Haemek village is absent	2026-08-06
Acre S/D	Acre S/D	1						unmatched-ambiguous	C_review		agent		2026-08-06
Adel Yahud	Adel Yahud	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Affula (Afula)	Affula (Afula)	1	18417	Afula (Israel)	Q152462	kima-dump		matched	C_review		agent		2026-08-06
Affula|Affula Nugst	Affula|Affula Nugst	1	18417	Afula (Israel)	Q152462	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Affuleh|Afula	Affuleh|Afula	1	18417	Afula (Israel)	Q152462	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Afula|Affuleh Carea st	Afula|Affuleh Carea st	1	18417	Afula (Israel)	Q152462	kima-dump	Q152462	matched	A_autolink	0.95	auto		2026-08-06
Afula|Afuleh	Afula|Afuleh	1	18417	Afula (Israel)	Q152462	kima-dump	Q152462	matched	A_autolink	0.95	auto		2026-08-06
Ahava	Ahava	1						unmatched-ambiguous	C_review		agent	the Ahava children's home?	2026-08-06
Alliance Scool	Alliance Scool	1						unmatched-no-kima-entry	C_review		agent	institution	2026-08-06
Alya Street	Alya Street	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Ashadot Yakov	Ashadot Yakov	1	26521	Ashdot Yaakov (Israel)	Q2891543	kima-dump		matched	C_review		agent	generic Ashdot Ya'akov; Ihud/Me'uhad split post-1948	2026-08-06
Ata village	Ata village	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Aten Village	Aten Village	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent	garbled Ata village	2026-08-06
Athlit|Athlit C. Camps	Athlit|Athlit C. Camps	1	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Athlit|Athlit J.L.Co. 2	Athlit|Athlit J.L.Co. 2	1	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Athlit|Athlit Prison	Athlit|Athlit Prison	1	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Athlit|Cl. Camp - Athlit	Athlit|Cl. Camp - Athlit	1	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Atlit|Athlit	Atlit|Athlit	1	16036	Atlit (Israel)	Q757398	kima-dump	Q757398	matched	A_autolink	0.95	auto		2026-08-06
Atlit|Athlit C.R. Camp	Atlit|Athlit C.R. Camp	1	16036	Atlit (Israel)	Q757398	kima-dump	Q757398	matched	A_autolink	0.95	auto		2026-08-06
Atlit|Atlit. House of Ofman	Atlit|Atlit. House of Ofman	1	16036	Atlit (Israel)	Q757398	kima-dump	Q757398	matched	A_autolink	0.95	auto		2026-08-06
Atlit|Cl. Camp - Athlit	Atlit|Cl. Camp - Athlit	1	16036	Atlit (Israel)	Q757398	kima-dump	Q757398	matched	A_autolink	0.95	auto		2026-08-06
Ayesdin	Ayesdin	1						unmatched-junk	C_review		agent		2026-08-06
Balad al-Sheikh	Balad al-Sheikh	1	21670	Balad al-Shaykh (Israel)	Q2776471	wikidata-direct	Q2776471	matched	C_review		agent	own entry; kept distinct from Nesher per project policy	2026-08-06
Banks St	Banks St	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Bar Galim	Bar Galim	1	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump		matched	C_review		agent	or Kfar Gallim; Bat Galim more likely	2026-08-06
Bassa I.|Bassa	Bassa I.|Bassa	1	21539	Bassah (Israel)				matched	C_review		human		2026-08-06
Bassa N.1 N.F.D	Bassa N.1 N.F.D	1	21539	Bassah (Israel)				matched	C_review		human		2026-08-06
Bassa No 1|Bassa	Bassa No 1|Bassa	1	21539	Bassah (Israel)				matched	C_review		human	al-Bassa / Bassa Camp	2026-08-06
Bassa No 2|Al-Bassa	Bassa No 2|Al-Bassa	1	6885	Shelomi (Israel)	Q135421	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Bat Shlomo near Zammaren|Bat Shlomo	Bat Shlomo near Zammaren|Bat Shlomo	1	587	Bat Shelomo (Israel)	Q2889218	kima-dump		matched	C_review		agent	Zammaren = Zummarin (Zichron)	2026-08-06
Bat Yalem	Bat Yalem	1	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump		matched	C_review		agent	garbled Bat Galim	2026-08-06
Bath Galim|Bath Galim K. H. Bldg	Bath Galim|Bath Galim K. H. Bldg	1	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump		matched	C_review		agent		2026-08-06
Bathelim K.butz|Bathelim	Bathelim K.butz|Bathelim	1						unmatched-ambiguous	C_review		agent		2026-08-06
Beisan|Dept. of Police, Beisan	Beisan|Dept. of Police, Beisan	1	613	Bet She'an (Israel)	Q152368	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Beit Alfa	Beit Alfa	1	563	Bet Alfa (Israel)	Q2900562	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Beit Alfa / Beisan	Beit Alfa / Beisan	1	563	Bet Alfa (Israel)	Q2900562	kima-dump		matched	C_review		agent	Beit Alfa lies in the Beisan sub-district	2026-08-06
Beit Alpha	Beit Alpha	1	563	Bet Alfa (Israel)	Q2900562	kima-dump		matched	C_review		agent		2026-08-06
Beit Anya	Beit Anya	1	16157	Betanyah (Israel)				matched	C_review		human		2026-08-06
Beit Dagan	Beit Dagan	1	9783	Bet Dagan (Israel)	Q2920214	kima-dump	Q2920214	matched	A_autolink	0.95	auto		2026-08-06
Beit Jan	Beit Jan	1	90226	Bait Jan (Israel)	Q814900	kima-dump	Q814900	matched	C_review		human		2026-08-06
Beit Jann	Beit Jann	1	90226	Bait Jan (Israel)	Q814900	kima-dump	Q814900	matched	C_review		human	Druze village, Upper Galilee	2026-08-06
Beit Olim	Beit Olim	1						unmatched-no-kima-entry	C_review		agent	immigrants' hostel	2026-08-06
Beit tatikva	Beit tatikva	1						unmatched-no-kima-entry	C_review		agent	institution	2026-08-06
Beit-Zerah	Beit-Zerah	1	599	Bet Zera (Israel)	Q2573500	kima-dump		matched	C_review		agent	Bet Zera	2026-08-06
