date	pub	page_id	window
1936-10-18	difaa	difaa19361018-01.1.4	…يلة لها في الاسابيع المقبلة نقل طبيب عربي جاءنا من مراسلنا في حيفا : نقل الدكتور سعيد الدجاني احد اطباء مستشفى الحكومة بحيفا الى مثل وظيفته في مستشفى البلدية في يافا وقد اقام له السيدان انيس جورج واحمد أبو السعود حفلة وداع دعي اليها بعض موظفي المستشفى وغيرهم . اطلاق سراح متهم حيفا - اطلق امس سراح محمد العلي من ( عبلين ) وهو المتهم الثاني بمقتل المرحوم الحاج خليل طه مرض…
1936-11-23	difaa	difaa19361123-01.1.5	…ة أجريت عملية جراحية ناجحة الجاويش الميناء النشيط السيد فلاح اسعد في المستشفى الفرنسي . والصيد فلاح افندي يشكر طبيب هذا المستشفى لبذله مجهودا كبيرا في سبيل نجاح العملية ، كما انه يثني على ممرضات المستشفى أمهرهن الدائم على صحته شکر موظف نشيط حيفا - تردنا كلمات شكر كثيرة للصيد غانم رئيس القلم في دائرة البريد يحيفاً نظراً للتسهيلات التي يلقاها المواطنون وذوو الاتصال…
1936-12-21	difaa	difaa19361221-01.1.5	… أيهودي و كذلك اقامت الباخرة جروزاليم وعليها بعض المهاجرين اليهود . ولكن ما قيمة ذلك بالنسبة للسيل الطاغي ! مساجم جديدة حيفا - عقد اجتماع في منزل الحاج طاهر قرمان للبحث في انشاء مساجد جديدة في حينها سفر طوب الى لندن غزة سافر الدكتور ابراهيم افندي إنهم طبيب المستشفى البلدي بغزة الى لمدن عن طريق مصر موفداً من الحكومة وسيمكث مدة سته اشهر للدرس وقد استلم منصبه بالوكالة الدكتور منير طبيب…
1937-02-03	difaa	difaa19370203-01.1.4	… الذين قتلوا فيها . وهاجم العرب معابد اليهود احدى عشرة مرة . ودنسوا مقابرهم ثلاث مرة على مرات واطلقوا الرصاص ٣٦ مرة على المستشفيات وسيارات الاسعاف وتسع مرات على ملاجيء الاطفال والعجزة و١٩ مرة على المدارس حيفا بيان وفد اللجنة العليا للصلح - حيفا في ٢ شباط - لمراسل الدفاع الخاص - انتد بنا حضرة صاحب السماحة الحاج امين افندي الحسيني رئيس اللجنة العربية العليا لحل ال…
1937-02-08	difaa	difaa19370208-01.1.5	…ة كانت تركب خانهه بجراح ونقلا الى مستشفى هداسا انقلبت سيارة بالقرب من الكيلو ١٦ فاصيب احد ركابها بجراح نقل - بصبيها الى المستشفى الحكومي . بعث الينا مكتب الدعاية والنشر بصورة البرقية التي ارسلتها جمعية العمال العرب الى سماحة الحج امين افندي الحميني : جمعية العمال العربية بحيفا ترفع السماحتكم آيات الشكر للمساهمي التي بذلتموها بواسطة وفدكم الأمين في موضوع زا جمعية العمال عمال قرمان ديك رسلطي وتعل…
1937-03-11	difaa	difaa19370311-01.1.2	…لكفالة . فاذا حسن قدمت يعين الحاكم مكان الابعاد حيث يمكث فيه السيد فريد سنة كاملة تحت رقابة البوليس الجرحى العب يغادرون المستشفى خرج الجرحى العرب الأربعة من مستشفى الحكومة في حادث انفجار القنابل في سوق الأبيض بسبب حفلة في جمعية الشبان المسلمين طلبت ادارة البوليس بحيفا السيد نديم دلال رئيس جمعية الشبان المسلمين لسؤاله عن سبب عدم استئذان الحكومة في اقامة الجمعية حفلة الخليفة العادل عمر ا…
1937-04-15	difaa	difaa19370415-01.1.3	…في اجتماعاتهم الخاصة اليوم، ومن المؤكد ان يقروا وجهة النظر المصريه بجعل فترة الانتقال اثنتي عشرة سنة الموقوفين الذين في المستشفى الان زرنا أمس بعض الموقوفين الذين نقلوا الى مستشفى الحكومة بحيفا لاجراء عمليات لهم . ومن بينهم الشاعر الشعبي السيد نوح ابراهيم الذي طلب الي ان اشكر بلسانه أطباء المستشفي وممرضاته للعنا…
1937-06-11	difaa	difaa19370611-01.1.3	…على ثلاثة اشخاص اطلقت عليهم من اشخاص مجهولين عيارات نارية قرب القرية وقد جرح الاومباشي المسؤول في ذراعه الايمن ونقل الى المستشفى الحكومي للمعالجة حيفا - في الساعة ٥ ونصف مساء امس وردت اخبارية ان حسين ابو حماده شفا عمرو طعن طعنة قاتلة من قبل عزيز احمد الحمد من دروز شفا ع…
1937-06-11	difaa	difaa19370611-01.1.3	…ن حسين ابو شرار من الخليل طعن وجرح بدرية بنت عبد الهادي ابو تمر جرحاً مخطراً وجرح امرأة اخرى جرحاً خفيفاً وقد نقلنا الى المستشفى وفر المتهم . حيفا - اخبر البوليس في الساعة التاسعة والربع من مساء امس ان ثلاثة أشخاص مجهولين قرعوا باب الحاج عبد الواحد في البلدة القديمه…
1937-06-13	difaa	difaa19370613-01.1.2	…ة الاشياء الضرورية التي تلزم في اول العمل والكل يبدى نشاطاً ازاء هذا المشروع اخذ الله بيد القاعين به انتحار يهودى حرقاً حيفا - انتحر يهودا مزراحي باحراق نفسه بالكاز ونقل الى المستشفى محالة خطرة . قداس وجناز في كنيسة المخلص في الساعة الثامنة من صباح يوم الثلاثاء الواقع في ١٥ من الشهر الجاري سيقام في كن…
1937-06-25	difaa	difaa19370625-01.1.3	…ت جريس عيسى قسيس في - رام اللهرام الله وذلك في منتصف الساعة الثامنة من الليلة الماضية وتضرر الباب ونافذة المنزل فقط . - حيفا - توفي في المستشفى صباح امس عبد القادر حسين متأثراً من جراح اصيب به على اثر شجار نشب في قرية السنديانة يوم ۲۰ حزيران الجاري وقد القى القبض…
1937-06-28	difaa	difaa19370628-01.1.3	… توجه اليها العناية اللازمة ، فهل يتقدم المحسنون الى مديد المعونة للزوج البائس والزوجة التي تعاني اشد الآلام ؟ وهل يعرف المستشفى البلدي اهم واجباته ? دائس الصحف اليهودية في الصحف اليهودية المراسليها في حيفا ، ان خمسين درزيا من القرى الدرزية في اللواء الشمالي عقدوا مؤ عمرا في فندق كوكب الشرق برئاسة الشيخ سلمان طريف ، قرروا في…
1937-06-29	difaa	difaa19370629-01.1.3	… اثر خروجه من حسين حماده واسعد حامد اسوة باخوانهم أنباء تلفونية مختصرة في سطور نقل محمود الشيخ حسين الى مستشفى الحكومة بحيفا اليوم بحالة خطره - على اثر اعتداء أربعة اشخاص مجهولين عليه . ونقلت هيام عبد الرازق من ترشيحا الى المستشفى نفسه لان مجهولا أطلق عليها عياراً ناريا أصابها في ظهرها سرق مجهولون أمس عدداً من اسلاك التلفون من دائرة بريد حيفا وقد ع…
1937-08-15	difaa	difaa19370815-01.1.7	…م ان الجمعيات اليهودية وفي طليعتها جمعية الهستدروت تعقد اجتماعات كثيرة تقرر فيها الحيلولة دون تشغيل اي عامل عربي في هذا المستشفى ! مهارة الايدى العربية واتقانها أعمالها عقد متعهد و بناء مستشفى الحكومة بحيفا اتفاقاً مع النجارين السادة عمر حمود واخوانه ، على انشاء جميع الابواب وقد تم هذا الاتفاق على اثر مشاهدة المهندسين الذين …
1937-08-31	difaa	difaa19370831-01.1.2	…ق مجهول مساء هذا اليوم الرصاص على عربى يدعى عبد محمد محمود من عرقوف بالقرب من ملعب المسكابي فاصيب بجرح غير خطر ونقل الى المستشفى لاسعافه . مقتل بهو دين حيفا - وقع في مستعمرة كركور قرب الخضيرة صباح امس حادث اطلاق نار على يهوديين، وتفصيل الخبر ان اثنين من العمال اليهود خرجا من …
1937-08-31	difaa	difaa19370831-01.1.2	…سيارة عسكرية ال في الساعة العاشرة من صاح ٢٩ الجاري صدمت سيارة عسكريه سليمان عقاب بينما كان راكبا على حماره وذلك في طريق حيفا - اللجون فجرحته جراً بالغا ، وقد توفي فور نقله إلى المستشفى ير تدون البسة عسكرية حيفا - في الساعه الحادية عشرة من ليلة ۲۸ الجاري وردت اخبارية للبوليس ان ثلاثة اشخاص مجهولين يلبسون…
1937-09-05	difaa	difaa19370905-01.1.1	…لخاص - في الساعة الثامنة والدقيقة ١٥ من صباح هذا اليوم اطلق مجهولان الرصاص على ابراهيم بك الخليل عضو الجمعية الاسلامية بحيفا ومتولي الوقف فيها . وقد كان جالساً مع السيد احمد مراد خارج بيته قرب حمام الباشا ، وقد اصيب بجراح خطرة نقل على اثرها الى المستشفى. وقد اصابته الرصاصات في صدره وذراعه مما سبب له نزيف دموياً وتوفي في الساعة ١٢ والدقيقة الخامسة من ظهر هذا اليوم في مستش…
1937-09-05	difaa	difaa19370905-01.1.3	…والربع من صباح هذا اليوم اطلقت ثلاثة عيارات نارية على ابراهيم بك الخليل بينما كان جالساً خارج بيته في شارع حمام الباشا بحيفا وقد اصيب بجروح خطرة في صدره وذراعة ونقل الى المستشفى وتوفي فيه حوالي الساعة الثانية عشرة. بيسان في منتصف الساعة الثامنة من صباح اليوم تصادمت دورية من -- البوليس مؤلفة من ثل…
1937-09-05	difaa	difaa19370905-01.1.3	…ن صباح هذا اليوم القيت قنبالة على باص لفتا قرب عطقة شارع الحبش وقد اصيبت نعمه احمد عبد الله وامينه حميد خليل ونقلنا الى المستشفى وفيه توفيت الأولى متأثرة من جراحها وجرح ايضاً كونستابل بريطاني كان راكباً بالباص لحراسته حيفا سجن عشرة اشخاص من القرويين حيفا في ٤ ايلول - لمراسل الدفاع الخاص - قضى مساعد حاكم اللواء الشمالي امس بسجن عشرة اشخاص من اهالي قرية برطعة مدة سنة ، على …
1937-09-08	difaa	difaa19370908-01.1.2	…مل من بينما كان السيد سعيد دغمش يشتغل على ظهر الباخرة ( زعفران ( سقط من اعلى السطح الي قاع العنبر فكسرت رجله . ونقل الى المستشفى الأتمام مسجد النزهة زار الحاج طاهر افندي قرمان أحد اصحاب شركة قرمان ديك وسلطي بحيفا أول أمس مسجد النزهة الذي لم تنته عمارته بعد فتبرع بمثتي كيس من الاسمنت وقد شكرته اللجنة القائمة على مشروع اتمام المسجد …
1937-09-14	difaa	difaa19370914-01.1.3	… هرع بعض الجالسين في المقهى المجاور فوجدوا المجني عليه ملقى على الارض فحملوه الى عيادة الدكتور سعيد افندي تمر ومنها إلى المستشفى في حيفا حيث توفي هناك وقد تولى البوليس التحقيق حيفا النار على مستعمرة وقتل واحد - حيفا في ١٣ ايلول لمراسل الدفاع الخاص- اطلقت بعد منتصف ليلة امس ، عيارات نارية على مستعمرة يحزقيل قرب العفولة ، وقد اصيب مناح…
1937-09-15	difaa	difaa19370915-01.1.3	…مرحوم عبد السلام البرقاوي عندما كان في طريقه الى البيت ومعه شقيقه فاطلق الرصاص عليه وقد نقل الفقيد الى مستشفى الحكومة الحيفا حيث اسلم الروح بعد العاشرة من صباح الامس بين لفيف من اقاربه ومحبيه الذين هرعوا إلى المستشفى، ولما ذاع خبر وفاته سارت جموع غفيرة من اهل البلد والخارج وراء نعش الفقيد الى مسقط رأسه برقه حيث ووري التراب بين دموع ال…
1937-09-15	difaa	difaa19370915-01.1.3	…ول ان الفقيد كان رحمه الله موضع التقدير والاحترام كريم النفس والاخلاق . ملجأ للفقراء رحمه الله والهم آله الصبر والسلوان حيفا اهمال العمال العرب في عمارة المستشفى حيفا في ١٤ أيلول - لمراسل الدفاع الخاص قابل وفد ممثل الجمعية المعلمين ارباب المهن العرب مؤلف من السيدين احمد عبد الفتاح…
1937-10-23	difaa	difaa19371023-01.1.3	…ن في مساء امس حادث مقتل العربي في القدس ، واصابة العربيين في حيفا ، واطلاق عيارات نارية في أمكنة اخرى ، وقطع التلفون بن حيفا وصفد ليلة أمس الأول ، واشعال النار في انابيب البترول قرب الناصرة ، ثم اطفائها واصلاح الخلل الناجم خروج حاكم الشمال من المستشفى القدس في ٢٢ تشرين اول - لمراسل الدفاع الخاص - تماثل المستركيث - رو تش خاكم اللواء الشمالي للشفاء وغادر المستشفى الحكومي…
1937-11-06	difaa	difaa19371106-01.1.3	…مستعمرة ديران اعرابياً من بدو بئر السبع النازلين بالقرب من وادي حنين فقتلته في الحال . وقد نقلت جثته بالسيارة نفسها الى المستشفى البلدي في الرملة وبعد ان شرحت الجنة سلمت لذويها لدفنها . واعتقل السائق رهن التحقيق اعتقال شخص من حيفا | اعتقلت السلطة امس الاول السيد محمد غزال من يافا والساكن في حيفا ، موجب قانون الطواري، وقدجيء به في سيارة الى الرملة م…
1937-11-29	difaa	difaa19371129-01.1.5	…س واليوم قوات كبيرة مع المصفحات متجهة نحو الشمال . نكبة عامل وهو في عمله بيما كان الشاب نايف شحاده احد عمال سكة الحديد بحيفا وامين صندوق فرقة كشافة العمال يباشر عمله في السكة اذ به يمر بين مخرطتين للحديث اصابته احداها بضربة قاسية جرح على اثرها جرحاً بليغاً ونقل الى المستشفى الحكومي حيث اجريت له عمليه جراحية ، والمفهوم انه يتماثل الى الشفاء . لا يزال العطف على المنكوبين قويا جمعت فرقة كشافة ج…
1937-12-14	difaa	difaa19371214-01.1.1	…٢٢ سنة ولازار توفيا وعمره ٢٥ وكوهين آریا و عمره ۲۹ سنة و هلين ابراهام و عمره | بجراح طفيفة ضمدت فى ٢١ سنة مستشفى هداسا نحيفا وارسلوا إلى بيوتهم أما البوليس العربي الذي كان الوحيد بين الركاب فقد اصيب بجراح خطرة في صدره الى المستشفى و بعد اطلاق العيارات بدقائق مرت سيارة شحن يهودية قادمة من العفولة ، وسيارتان من مستعمرة شاعرها ما كيم التي وصلت بعد اخب…
1938-01-05	difaa	difaa19380105-01.1.5	…لاثين بوليساً إضافياً من يهود المستعمرات المجاورة واشترك فى حراثة الاراضي حوالي أربعين ماكنة حراثة المندوب السامى يتفقد المستشفى والمرفأ يزور المندوب السامي غداً حيفا حيث يتفقد مستشفى الحكومة الجديد والاعمال في المرفأ ، وقد يتناول الطعام عند الظهر في معسكر الجيش ويعود بعد الظهر طائراً …
1938-01-05	difaa	difaa19380105-01.1.7	…ن الدكتور سليمان كتخدا - طبيب دائرة الصحة يزور بعض القرى وفي الطريق جمحت به الفرس فأصيب باصابات بسيطة نقل على اثرها إلى المستشفى الحكومي بحيفا، ومع ان الاصابات ليست ذات اهمية الا ان بقاءه في المستشفى قد ة يستغرق ٣٠ يوماً قلم شيفر Y Lifetime Feathertouch احسن واج…
1938-03-04	difaa	difaa19380304-01.1.1	…الصحف اليهودية على الحالة السائدة في زاوية تحت عنوان ( الساعة الاخيرة ) ذكرنا في عدد أمس محاولة اغتيال او نباشي عربي في حيفا واصابته ثم نقله الى المستشفى . وقد جاءتنا اليوم تفاصيل جديدة عن الحادث المذكور : الساعة العاشرة والنصف من في | مساء أمس بينما كان انباشي عربي وبوليس…
1938-03-30	difaa	difaa19380330-01.1.5	…لمراسل الدفاع الخاص - وقع شجار بين شخصين أحدها الآخر بمدية فأصيب بجراح بليغة وقد نقل في قرية ( المشهد ، فطعن المصاب الى المستشفى الانكليزي بالناصرة وحالته خطرة . وشرع البوليس في التحقيق ولم تعرف الاسباب التي ادت الى هذا الشجار حتى الآن ا حيفا ا اجراءات على اثر اطلاق نار اعتقال اشخاص من اجزم وتفتيشها بدقة حيفا في ٢٩ أذار - لمراسل الدفاع الخاص - على اثر اطلاق ال…
1938-04-11	difaa	difaa19380411-01.1.4	…خلال هذا الشهر لاستلام وظيفته دار عنان فرنسیتان مرت صباح امس الدارعتان الفرنسيتان ) جبل صنين ) و ( فوبان ) يطريقهما إلى حيفا فبيروت ، لحراسة الشواطيء السورية - اللبنانية حاولت الانتحار الفت امرأة يهودية يوم امس بنفسها من طابق رابع في شارع آلياني بتل ابيب ، وقد نقلت إلى المستشفى مجالة خطرة. اعتقال شخصين بينما كانت دورية بوليس العجمي تتجول في الساعة الواحدة بعد منتصف ليلة امس الاول ، شهدت احمد بن …
1938-04-14	difaa	difaa19380414-01.1.4	…مة ويتعرف الى موظفيها. الثناء على طبيب موظف جاءتنا كلمة يشكر فيها موقعوها ه الدكتور نايف بك حمزة طبيب مستشفى الحكومة في حيفا الحسن معاملته للمرضى مما يخفف عنهم في المستشفى وعنايته بهم الكثير من آلامهم قطع تلفونات و اضرام النار با عمدتها قطع مجهولون ليلة امس اسلاك ذهبت قوات كبيرة من البوليس …
1938-04-18	difaa	difaa19380418-01.1.1	…ة آخرون بجراح قل ا خطراً من اصابتي الاولين. واصيب ، بى ا آخرو يهودي بجراح سيطة نقل المصابين / وقد نقل الصابون العرب إلى المستشفى الحكومي في حيفا . و قال الجريح اليهودي إلى مستشفى هداسا افادة شاهم البوليس بانه شاهد عقب انفجار القنبلة شخصا في ان شما لم يبينه كان يسر…
1938-04-19	difaa	difaa19380419-01.1.1	…سركيس كرسام وعمره ٣٠ سنة والياس شاهين وعمره ٤٦ سنة واليان جلان وعمره ٥٠ سنة ونعمان جمال وعمره ٢٤ سنة ، وجميعهم من اهالي حيفا، فقد أجريت لهم الاسعافات الطبية في مستشفى حيفا ولا يزالون في المستشفى وحالة بعضهم صعبة . اما بقية مصابي الحادث فأجريت لهم الاسعافات وسمح لهم بالعودة الى منازلهم . اما في الله تجمع البناء وق…
1938-04-24	difaa	difaa19380424-01.1.4	…فلسطيني ٤,٣٠٥,٨٨٠ صندوقاً ولم يعرف على وجه التأكيد البلاد التي استهلك فيها ١٦٢,٩٣٣ صندوقا هيفا نقل معتقلين الى مستشفيين حيفا في ٢٣ نيسان - لمراسل الدفاع الخاص - نقل السيدان احمد دردا من اهالي عكا وحسن شبلاق من مخيم المزرعة الاول الي مستشفى السجن في عكاو الثاني الى المستشفى الحكومي فى حيفا . وجيء أيضاً بالشيخ صالح المشماري من المعتقل الى مستشفى حيفا اعتقال عشرة اشخاص من طبعون وذهبت في الساعة…
1938-04-27	difaa	difaa19380427-01.1.1	… الكينا الكائن خارج سور عكا من جهة البوابة الوسطى ، فنقلت جثته الى دائرة الصحة بعكا ، ولما علم أقاربه بالحادث حضروا الى المستشفى واستلموا الجثة لتدفن في قريته. ولم يعرف القاتل، ويحقق البوليس في هذا الحادث | النار على شخص حيفا في ٢٦ نيسان - لمراسل الدفاع الخاص - في الساعة الثالثة والنصف من بعد ظهر اليوم بينما كان محمد ابو سميح الهندي ذاهباً الى…
1938-04-27	difaa	difaa19380427-01.1.5	…ح من شظايا القنبلة التي لقاها مجهول على التقى العربي الواقع بالقرب من هادار ها كرمل و على زاوية شارع هارتس ، ولم يزل في المستشفى من الجرحى الذين أصيبوا من هذه القنبلة ثلاثة . وصول قوافل من المهاجرين اليهود وصل حيفا اليوم على ظهر الباخرة ( شمبليون ( مئة مهاجر يهودي ، وعلى ظهر الباخرة الرومانية ( جليليا ( ۲٥۰ مهاجراً ، كما وصل اليوم ع…
1938-05-04	difaa	difaa19380504-01.1.1	…دسا في مؤخرة رأسه فقتل على الفور ، وانسحب مطلق الرصاص، ولم يتمكن . أحد من القاء القبض عليه تشريح الجنة و نقل القتيل الى المستشفى الحكومي الى حيث اجري تشريح الجنة واجراء التدابير اللازمة قبل الدفن. والمتوفي من أهالي حيفا ، يشتغل ببيع الفحم . وما بلغ الخير دائرة البوليس حتى انتقلت قوة الى مكان الحادث وانتشرت الدوريات في المدينة . واعتقل ال…
1938-05-27	difaa	difaa19380527-01.1.5	…سرت جمجمتها ونقلت الى مستشفى هداسا في حالة خطرة دهست سيارة تاكسى احد اليهود في الشارع الجديد بالقرب من عمارة المطران في حيفا ونقل إلى المستشفى حالة خطرة في رسالة طولكرم التلفونية قائد القوات يصل الى المدينه طولكرم في ٢٦ ايار - لمراسل الدفاع الخاص - وصل اليوم قائ…
1938-05-29	difaa	difaa19380529-01.1.5	…بة عربي بعيار ناري في كتفه بينما كان السيد كمال ديب كمال من قرية ( دالية الكرمل ) التابعة لحيفا سائراً الى مركز عمله في حيفا أصيب بعيار ناري في كنفه وجراحه غير خطرة . كما أطلقت النار على دابة لعلي الزيدان من القرية ذاتها فأصيبت بجراح مميته . ونقل الجريح الأول إلى المستشفى حيث اجريت له الاسعافات الأولية . نقل مصاب برصاصه إلى مستشفى الحكومه جيء صباح اليوم الى مستشفى الحكومة بالسيد محمود ابرا…
1938-06-14	difaa	difaa19380614-01.1.4	… المجدل ومن ثم ارسلوا جميعا الى سجن غزة المركزي . والاسباب مجهولة يحاول الانتحار ) ) تجرع أحد عمال شركة شمن اليهودية في حيفا كمية من السم قصد الانتحار . وقد نقل من بيته الى المستشفى الحكومي بحالة خطرة في ١٤ حزيران مصادمة بين مسلحين وخفراء بقية المنشور على عة الاولى ح 4…
1938-06-27	difaa	difaa19380627-01.1.4	…الذي صدر منه الصوت شاهدوا المريض محمد سليمان فاقد الروح و مصاباً برصاصة حطمت جمجمته ، وهو من نابلس وعمره ٤٠ سنة وقد دخل المستشفى في ٢٣ - ٥ - ٣٨ اما المجهول الذي اطلق النار فقد اختفى وروت ( دافار ) في ملحقها الخبر على الشكل التالي : في الساعة ١١ مساء امس دخل المستشفى الحكومي بحيفا مسلحان ، وعندما قا لمهما احد التمرجية أشهرا في وجهه المسدسات ففر هارباً ، وواصلا سير هما الى نافذة احدى غرف المستشفى وأ…
1938-06-28	difaa	difaa19380628-01.1.5	…قرع اعتقل في قريه «كفر قرع ) ستة أشخاص من الرعاة وعدداً من التركات النازلين في اراضي القرية المذكورة ، واودعوا السجن في حيفا رهن التحقيق. . قوة لحراسة مستشفى الحكومه تعيين على اثر مقتل محمد أحمد سليمان ليلة امس في مستشفى الحكومة ، عينت السلطة بعض افراد البوليس لحراسة المستشفى ليلا نهارا وصول مهاجرين وتصدير كمية املاح وصل اليوم على ظهر الباخرة جروزاليم ٨٠ مهاجراً يهودياً وعلى ظهر الباخرة بولوني…
1938-07-07	difaa	difaa19380707-01.1.1	…رات ناريه في الساعة الواحده من صباح اليوم بالقرب من جسر المصراره بالقرب من صارونا . السباعية الأخيرة اخر احصاء عن فاجعة حيفا ١ - في مستشفى الحكومة : ٣٣ مصاباً بينهم ٧ في حالة خطرة . ٢ - في المستشفى الالماني : ٨ بينهم طفل بحالة خطرة ٣- في المستشفى الايطالي : ٨ بينهم ٤ في حالة خطرة A في البيوت : سمح ١- ٣٣ بمغادرة المستشفيات الى بيوتهم - حوادث البلاد على صفحة ٨ التاي…
1938-07-07	difaa	difaa19380707-01.1.4	…البحث عنه خلال الايام القليلة الماضية . وجود الجنة وقد وجد معلقاً من عنقه في شجرة وأطلقت عليه العيارات النارية ونقل الى المستشفى في حيفا . في الساعة الثانية وفيها بلي نروي آخر احصاء تمكنا عن الوصول اليه حتى الساعة الثانية صباحاً: ١٠٤ اصابات بالغ عدد المصابين في حوادث حيفا ١٠٤ اشخاص من العرب واليهود . | قتلى العرب وجرحاهم وبلغ عدد القتلى من العرب ٢٢ شخصاً وعدد الجرحى من العرب ٠ ٤ بينهم ستة …
1938-07-07	difaa	difaa19380707-01.1.8	…ها بوكر ... انه يعتقد أنه من المساحين قد قتلوا وجرح آخرون . وقد أصيب جندي بريطاني وخفير يهودي بجراح خفيفة ، فادخلوا الى المستشفى الحكومي بحيفا وفيها لي البيان الذي أصدرته الحكومة عن هذا الحادث : اشتبكت ليلة امس قوة من فرقة المشاة السادسة عشرة : مع عصابة الغرب من…
