n	id	date	publication	title	snippet	forms
20	ahr19460616-01.2.50	16 June 1946	ahr	התנקשות בקצין מחוז חיפה שבת אלמוני ניסר להתנ	"<div class=""txtsearchsnippet"">... _ברחרב טבריה. קצין המחוז נפצע בירייה בצווארו ונאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו אינו קשר, ליד _מקוס ההתנקשות נמצא אקווה.</div>"	maqaf
21	ahr19460619-01.2.9	19 June 1946	ahr	_הלוניח 11 ההרוגים | בהתקפת חיפה במוצאירם ב בליל על	"<div class=""txtsearchsnippet"">י‭, '‬ההתקפה בתי־המלאבר, של הרכבת, הרכאו אל <b class=""highlightcolor"">בית ; החולים הממשלתי</b> בחיפה 10 גופות של מתקיפים שנהרגו ...</div>"	spelled
22	ahr19460726-01.2.88	26 July 1946	ahr	משפחות וקרובים 1 ליד גופות החללים &#8237;. . . &#8236;	"<div class=""txtsearchsnippet"">וקרובים צפופים ליו <b class=""highlightcolor"">בית־החולים הממשלתי,</b> שהנר מהוד המטרד. לחללים המובאים במכוניות _הצלב־האדופ. הקבובים ...</div>"	maqaf
23	ahr19460910-01.2.8	10 September 1946	ahr	סרג'אנט בולשת בריטי נודה _ונהרג בחינת סה ב־15	"<div class=""txtsearchsnippet"">... בחיפה ונפצע. הוא נפגע _ב־ד מקומות בגופו. נאסף אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ושם מת. הניח אשר"" ממקור רשמי מוסרים, ...</div>"	spelled
24	ahr19460912-01.2.51	12 September 1946	ahr	לאתר חודגם אין תחיה _בים־המלח	"<div class=""txtsearchsnippet"">... בנכי־ רובין לחזור ליפו. שכיתת א היות• — אחיות <b class=""highlightcolor"">_בית־ החולים הממשלתי</b> ביפי הכריזו שלשום שביתת־רעב על שהנחלח בית־ ...</div>"	spelled
25	ahr19461011-01.2.79	11 October 1946	ahr	mm	"<div class=""txtsearchsnippet"">... ג'אואו!בן 45 ועבד אל עזיז, בן ‭. 40‬נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
26	ahr19461018-01.2.49	18 October 1946	ahr	&#8237;_ftrranaa 551 &#8236;	"<div class=""txtsearchsnippet"">... נפצע, בנפול עליו אבנים בעבדי במחצבה. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ושם מת. _פגיעותיהן של מכוניות צבאיות ביום ...</div>"	maqaf
27	ahr19461023-01.2.36	23 October 1946	ahr	"מעולתצלצל"" בחשכת הלילה נגד &#8237;"" _at9&#8236; מוופ""ל"" ""ברכה קול ? ?־"""	"<div class=""txtsearchsnippet"">... בו עד שהצליחו להשיב רוחו אליו. הובאו לבית־החולים אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה הובאו 3 מעפיי י ים חולים: יואכים ...</div>"	maqaf
28	ahr19461101-01.2.64	1 November 1946	ahr	בכמה שוחת	"<div class=""txtsearchsnippet"">... בן ‭, 22‬מערב מישאאת נפת חיפה. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בהיפה ומת שעה לאחו שהובא לשם. נכגע _טנזכדנית ...</div>"	maqaf
29	ahr19461124-01.2.82	24 November 1946	ahr	"הרוג _ופןגוע בתא11ות דרפ""ס בחיפה"	"<div class=""txtsearchsnippet"">... המכוניות. הפצוע וכן- גופת ההרוג, שלא זוהתה, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> גסמנע _כןןכודה בגמל עלי זן 8ורה, בן M ...</div>"	maqaf
30	ahr19461128-01.2.70	28 November 1946	ahr	ן באישו!לילה | לקבו־ •_שדאל: | ן I א._דמנבאום I ומעפיל _אלמג1ני I די בוז־	"<div class=""txtsearchsnippet"">... ""הברא קדיש‭""*‬ בחי ־ פה ודרשו מהם ללכת אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> , כדי לקבור את שני החללים מבין המעפילים. ...</div>"	maqaf
31	ahr19470105-01.2.68	5 January 1947	ahr	מגא' ר 3ד_8מ3_ד_&	"<div class=""txtsearchsnippet"">... אור ליום ר במלון ברחוב הרצל. גוסתו נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> מוסרים, כי את מעשהו הנואש ביצע על רקע ...</div>"	maqaf
32	ahr19470121-01.2.32	21 January 1947	ahr	_5כ&#8237;2>&#8236;נר_,ח_^_ךץ]	"<div class=""txtsearchsnippet"">... רגלו בין 2 קרונות בתחנת חורה. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b></div>"	spelled
33	ahr19470122-01.2.25	22 January 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... נפל ובגום לו שבר ברגלו השמאלית ובמרפקחו נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> נוטר נדרס עבדאללה מוחמר עבואללה, נוטר, נדרם על־ידי ...</div>"	maqaf
34	ahr19470122-01.2.61	22 January 1947	ahr	בנש!שדת	"<div class=""txtsearchsnippet"">ד""ר שמעון כמש מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון"" _בתל־אביב הועלה בדרגה ונשלח לאנגליה להשתלם במקצוע ...</div>"	maqaf
35	ahr19470123-01.2.50	23 January 1947	ahr	&#8237;_jiiiiKJn _14&#8236; ביום אחד	"<div class=""txtsearchsnippet"">... נאסף אל _בית־החולים רוטשילד ועמין מוסטפה _אבו־שחב — אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
36	ahr19470127-01.2.48	27 January 1947	ahr	בכמהשוחת	"<div class=""txtsearchsnippet"">... _אמאלין איל־פ""חפ' שנדקר במסיבות בלחי ידועות. הגופה נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
37	ahr19470202-01.2.64	2 February 1947	ahr	&#8237;nniisi _0a_31&#8236; כנמל היפה האונייה הצרפתית	"<div class=""txtsearchsnippet"">... בבעל הביון (בן ‭(30‬ ופצעו בכליוח, הפצוע נאסף !אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בתיפת• _תאוגות דרכים _כחיפיה. — ערף עבוול ...</div>"	spelled
38	ahr19470209-01.2.47	9 February 1947	ahr	"3 נהרגו 3־ &#8237;rmmn 27&#8236; דרכינו תוך 3 ""מים"	"<div class=""txtsearchsnippet"">... ‬ מהנפגעים הם ילדים — מוסרת לשכת המודיעין הממשלתית. <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה מוסר על ארבע תאונות דרכים שאירעו היום, ...</div>"	maqaf
39	ahr19470214-01.2.153	14 February 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... על אי־תנועח j במושבה הגרמנית. הפצוע נאסף אל י <b class=""highlightcolor"">?ביה""ח הממשלתי.</b> I בתערוכת ""העת• !תערוכת ההסתדרות ב""ביחבו"" פתוחה מ־9 ...</div>"	abbreviated
40	ahr19470214-01.2.61	14 February 1947	ahr	&#8237;5_|&#8236;_ט_^־_08ב ־ _האדץ|	"<div class=""txtsearchsnippet"">... כנען נדרס ביום ד' בכביש חיפה־טירה. הו;ג נאסף אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ושם נקבע כי נגרם לו זעזוע מוח. ...</div>"	spelled
41	ahr19470216-01.2.31	16 February 1947	ahr	1 &#8237;yiNnqa ^] &#8236;	"<div class=""txtsearchsnippet"">... אחסר מוחמר' בן ‭. 18‬ במצב רציני הובאו אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
42	ahr19470216-01.2.50	16 February 1947	ahr	"_לסונשרים אין הנחות ב"" _מבצרי 'השליה"""	"<div class=""txtsearchsnippet"">... המשםור, את המשמרות שנהגו עו־כה ללוות את האמבולנסים של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בתחומי העיר. להבא ימשיכו משמרות משטרה ללוות אח ...</div>"	maqaf
43	ahr19470318-01.2.31	18 March 1947	ahr	&#8237;331333]&#8236; ה_^דץ _}	"<div class=""txtsearchsnippet"">... מכונית־משא אזרחית. נג־ רם לה שבר בשוק־רגלד, ונאספה אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה. לאקדמיה בפאריז י. מוטולד, וא. קרוכמאלניק, תלמידי ...</div>"	maqaf
44	ahr19470320-01.2.47	20 March 1947	ahr	ירושלים	"<div class=""txtsearchsnippet"">... ‬ כדורים התפוצצו והוא נפצע בשחי ידיו. נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> • תייליפ מתנפליפ ושודדימ ברחוב שדרות הכרמל, התנפלו ...</div>"	maqaf
45	ahr19470321-01.2.115	21 March 1947	ahr	בכמה שווות	"<div class=""txtsearchsnippet"">... יצאו חברי _, _חברא קדישא"" מרחובות ותל־ אביב אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בעזה לוהות את הגופה שנפלטה בחוף אשדוד. אחרי ...</div>"	maqaf
46	ahr19470321-01.2.88	21 March 1947	ahr	_חתנ!ו!_נצ1_ת	"<div class=""txtsearchsnippet"">... בידי יהודי שנפצע ונאסף אל בית־חולים צבאי ומשם אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> המקרה קרר, ברח' םירקין. הפצצה התפוצצה בידי בחור ...</div>"	maqaf
47	ahr19470323-01.2.32	23 March 1947	ahr	&#8237;yronafla5| &#8236;	"<div class=""txtsearchsnippet"">... שגנב את כספו הכהו בראשו בעל־הדירר, הפצוע נאסף אל <b class=""highlightcolor"">_בית־החולים _הממשלתי</b></div>"	maqaf
48	ahr19470324-01.2.38	24 March 1947	ahr	&#8237;5 I*1&#8236;־_BS	"<div class=""txtsearchsnippet"">... נורה במוצאי־שבת ע""י אלמוני. פצוע בירו השמאלית הובא אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בוועדת התרכות שליד מ. ש. ח. בחוג לבעיות ...</div>"	maqaf
49	ahr19470326-01.2.25	26 March 1947	ahr	&#8237;yuan?_31B_31 &#8236;	"<div class=""txtsearchsnippet"">... סטאגטרן על־ידי מבינית־מניא‭. -‬גגרם לו שבר בזרוע וגאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> נחש הכישו בווץריו אי סרים (מחוז חיכה) הכיש ...</div>"	abbreviated
50	ahr19470327-01.2.37	27 March 1947	ahr	331נל_33ה_^_תו	"<div class=""txtsearchsnippet"">... אל אווי ליד כורדאני. בעל־הדירה נפצע בירך ונאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה.</div>"	spelled
51	ahr19470327-01.2.68	27 March 1947	ahr	UNKNOWN	"<div class=""txtsearchsnippet"">... מוחמד _אחמד מוסד. נמצא ב־23 במארס, סמוך לכניסה של <b class=""highlightcolor"">ביה""ח הממשלתי,</b> כשהוא פצוע באופן רציני. הוא הוכנס לנית""החולים ושם ...</div>"	abbreviated
52	ahr19470330-01.2.40	30 March 1947	ahr	&#8237;I|rw1.:3a1_bfii &#8236;	"<div class=""txtsearchsnippet"">... פגעה בידו — ופצעה. כל הנפגעים הנ""ל נאספו »ל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> נפצעו כתאונת""דרכיפ סדר עבד אבו חסן, בן ...</div>"	spelled
53	ahr19470330-01.2.70	30 March 1947	ahr	&#8237;I10_K_3 s'£s!_£se Ann&#8236; דרכים ליד !הדיה חיפה שבת בהתנגשות שאיר	"<div class=""txtsearchsnippet"">... שרייבר (בת ‭. (3i‬ מלבד הפועל שמת נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> גם נהג המכונית הצבאית. התנקשות. — אלמוני ...</div>"	spelled
54	ahr19470406-01.2.64	6 April 1947	ahr	ננ₪ שורות	"<div class=""txtsearchsnippet"">... ימונים כתגובה על פיצוץ הבאר בקרית־חיים — נאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בתיפה. נגרם לו שבר בעצמות ר‭', ‬־די0 _ופצע־פ ...</div>"	abbreviated
55	ahr19470415-01.2.49	15 April 1947	ahr	נדקר ז	"<div class=""txtsearchsnippet"">... ברהם אסעו, בן ‭, 27‬כתוצאה מקטטה. הוא נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי,</b> דליקה בדירה ברחוב הגלעד 38 פרצה דליקה, בהתלקח ...</div>"	maqaf
56	ahr19470416-01.2.29	16 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... פפח לשלוח י ד בנפשה בצורה דומה. גווייחה הועברה <b class=""highlightcolor"">?_בית־החולים הממשלתי</b> בפרדס בייץ י יבדיקה. הרעילו קיבותיהם בגבינה 5 ...</div>"	maqaf
57	ahr19470416-01.2.3	16 April 1947	ahr	&#8237;8 ct'ii aran ,&#8236; אהדו!דוב קרבנ_1ת הר » ע 3 לה 1	"<div class=""txtsearchsnippet"">קהל, ביניהם _מבתי־החרושת, נהרו אל <b class=""highlightcolor"">בית־החולים הממשלתי'</b> שמשם יצאה ההלווייה. הגי ודיית, שהיו עטופות דגלי ...</div>"	maqaf
58	ahr19470420-01.2.36	20 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... שבר ביד ופי . גלים כפנים ובראש. נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> בוועדת התרבות שליד מ. פ. ח. ח- ...</div>"	spelled
59	ahr19470421-01.2.34	21 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... עכו, נורה _במוצאי־שבת בגבו ע""י אלמוניכ. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. כתערוכת ההפתדרדת תערוכת ההסתדרות ב""ביתנו"" פתוחה ...</div>"	spelled
60	ahr19470422-01.2.50	22 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... מחה""צ• נגרם דו שבר בגולגו־ יי ת ונאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> קרנות מיוהדות בהדודאה וחסכון' "" בשנת 1946 הופעלו ...</div>"	maqaf
61	ahr19470507-01.2.79	7 May 1947	ahr	ברה נהג מכונית גנובה ת אז	"<div class=""txtsearchsnippet"">... ראובן בן יקותיאל סטאן מתי'א — נפצע ונאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה, מצבו אינר קשה. הפצוע נעצר לצורכי חקירה. ...</div>"	abbreviated
62	ahr19470512-01.2.38	12 May 1947	ahr	"&#8237;^^&#8236;נ&#8237;^^&#8236;מ&#8237;?_5""""^^^ &#8236;"	"<div class=""txtsearchsnippet"">... נדרסה בשבת ע""י מכונית־משא אזרחית. במצב קשה הובאה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה? ילד מת בנפילה לבדר עוואו _אחמו ו1מרי ...</div>"	maqaf
63	ahr19470516-01.2.86	16 May 1947	ahr	2 קצינים הוגו &#8237;3,!&#8236; גשרים שבלו הותקפה רבבת שהסיעה נועלים	"<div class=""txtsearchsnippet"">... ג י ט ה — נחבלו. _כולס הועברו אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו ע""י מכונית מ. ד, א. רחובות. _ב־9 ...</div>"	abbreviated
64	ahr19470518-01.2.56	18 May 1947	ahr	win אחד ה_4 פצועים בהדר־הכרמל	"<div class=""txtsearchsnippet"">... הנוסעים‭2, ‬ הפצועים האנגלים נאספו ע""י ""מגן־דוד אוום"" אל <b class=""highlightcolor"">בית־החולים הממשלתי,</b> מנד""א הגיש עזרה גם לאשתו שד ד""ר י. ...</div>"	maqaf
65	ahr19470526-01.2.29	26 May 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... מחמוד אברהם הובא מת במרצאי י רם הי אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה. נדום ע""י מכונית. הוא כנראה מג'נין כבן ...</div>"	maqaf
66	ahr19470528-01.2.33	28 May 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... בהר הכרמל, נגרם פצע מיריד, כירך. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ומת למחרת בבוקר. פקיד דואר נאשם במעילה ...</div>"	maqaf
67	ahr19470608-01.2.48	8 June 1947	ahr	3 פצועי קטטדת _אחמד _מותמד אברהים בן 35 הרכה	"<div class=""txtsearchsnippet"">... בכית־קפה, נגרם שבר ברגל בשעת קטטה. הפצועים נאםפי אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> _םכסדך כין _מלהימ פצעים קשים נגרמו למוצטפה אחמו ...</div>"	maqaf
68	ahr19470624-01.2.31	24 June 1947	ahr	&#8237;?^^_3&#8236; _*ך תפאודות	"<div class=""txtsearchsnippet"">... החויי , זה ם ' ""הרסה _ דהו ‭(""‬ <b class=""highlightcolor"">בית חולים ממשלתי</b> , שאלה: — מהם בניינים מפוארים איה ...</div>"	indefinite
69	ahr19470713-01.2.35	13 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... בהתפוצצה ברמה לו המציאה פצעים קשים והוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה• מצב העבודה מספר מבקשי־העבודה גול מחודש ...</div>"	spelled
70	ahr19470715-01.2.29	15 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... חיפה—עכו. 3 _נוםעי הטאכסי הערבים נפצעו. הם נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
71	ahr19470716-01.2.18	16 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... השמאלית, וי ש חשש לשבר בגולגולת. הפצועים נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> זו בקומקום, וזו _בפדימוס ? ילדה בת ...</div>"	spelled
72	ahr19470720-01.2.11	20 July 1947	ahr	"מעפילייציאת אירופה"" גודש!לקפה•™ """	"<div class=""txtsearchsnippet"">... 1832 גברים‭1602, ‬ נשים‭955, ‬ ילדים. החולים שנשלחו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> הם ל1 גברים' 0נ נשים וילד אחד‭22. ‬ ...</div>"	maqaf
73	ahr19470722-01.2.47	22 July 1947	ahr	, התקפות על מתק! הראדאר _בהר־הכרמל	"<div class=""txtsearchsnippet"">... מוחמד, בן ‭, 23‬נפצע ביריד. בירך. הס הובאו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ומצבם משי חפר. בםטלדי מאריס נהרםר בניינים. לשני ...</div>"	maqaf
74	ahr19470723-01.2.47	23 July 1947	ahr	חיפה _מכבדת את! זכו ש י אל?_א וק י &#8237;™ ! &#8236;	"<div class=""txtsearchsnippet"">... האחרונה בהלרויחו השתתפו מאות אנשים, שבאו באוטובוסים מהדר־הכרמל אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> בין. המשתתפים — נציגי וועד הקהילה. בין ...</div>"	spelled
75	ahr19470725-01.2.70	25 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... לםאויקה סלים בא־ וואן, בת ‭. 18‬הפצועות נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. מכונית פוגעת מכונית אזרחית פגעה ביום ...</div>"	maqaf,spelled
76	ahr19470801-01.2.63	1 August 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... עבודה ביום ד' מגדבה 5 מ. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> אלמוני נדרם ומת בהתנגשות מכוניות נפצע אור ...</div>"	spelled
77	ahr19470807-01.2.60	7 August 1947	ahr	ה!צא&#8237;J_1131_&!&#8236; השוטרים מחרפות הבניין םרם די לאחר עבו־	"<div class=""txtsearchsnippet"">... אחרים שנמצאד על גבות _וכחצררת בסביכה הקרובה רהועברו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו של השוטר הערבי _שגפצע אתמול בשעת עבודת ...</div>"	maqaf
78	ahr19470815-01.2.8	15 August 1947	ahr	בבמה שוחח	"<div class=""txtsearchsnippet"">... הרצלי וביאליק, בשעת ההתפוצצות במכונית הטאכםיהועבר _מביתיהחולים רוטשילד אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> _שוהררו‭—. ‬ שניים מבין שלושת עצורי ליל היריות ...</div>"	maqaf
79	ahr19470901-01.2.35	1 September 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... הצבאית פגעה בא. הורוביץ שנהרג במקום. גופתו נאספה אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> תורנות כתי המדקהת _הח_/וץ, וזו' החמץ 2ז</div>"	spelled
80	ahr19470918-01.2.38	18 September 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... דקרו 3 דקירות בגבו‭2. ‬ הפצועים נאספו אל ו <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. מצבם I אינו מסוכן. כוועדת התרבות שליד ...</div>"	maqaf
81	ahr19470918-01.2.70	18 September 1947	ahr	כלב?שומרים לעזרת | בעליהם _המותקפים	"<div class=""txtsearchsnippet"">... על־ידי כלבי שומרים. הרו־ | עים הפצועים נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה‭!. ‬ שלושת הרועים סירבו לרדת מעל האדמה, ...</div>"	maqaf
