date	pub	lang	page_id	kind	term	place	haifa	dateline	diseases	transfer	window
1942-02-02	difaa	ar	difaa19420202-01.1.2	quarantine_station	محجر الطور		page				…تلقي فريق من اقارب حجاج هذا العام امس برقيات من محجر الطور تقول ج كبير منهم صباح فوج بانه ينتظر وصول اليوم الي فلسطين في قطار الصباح وقد شرع ذوو الحجاج واقرباءهم في الاستعداد لاستقبالهم في المحطات صباح اليوم …
1942-02-02	difaa	ar	difaa19420202-01.1.2	quarantine_station	المحجر الصحي		page			y	…نقل مامور المحجر الصحي لجسر المجامع…
1942-02-02	difaa	ar	difaa19420202-01.1.2	quarantine_station	المحجر الصحي		page			y	…نقل السيد عبدالعزيز المصري مامور المحجر الصحي الي مثل وظيفته في جسر - المجامع واستلم مكانه السيد احمد سعد الدين - وصل الي المدينه الفوج الاخير من الحجاج عايدا بالسلامه والجميع في صحه جيده…
1942-02-15	difaa	ar	difaa19420215-01.1.2	quarantine_station	الحجر الصحي		page				…انتهاء الحجر الصحي للحجاج…
1942-02-15	difaa	ar	difaa19420215-01.1.2	quarantine_station	محجر الطور		page				…انتهي محجر الطور الصحي من اعماله في هذه السنه بعد ان خدم حجاج الموسم جميعا وكان عدد الحجاج الذين مروا بهذا المحجر ٤٥٥٧ حاجا بينهم ٣٥٩٤ من المصريين و ۸۷۹ من الفلسطينيي…
1942-08-27	difaa	ar	difaa19420827-01.1.2	quarantine_station	المحجر الصحي		paragraph				…الجهود والمساعي الان للحصول علي هذه الرخص تنقلات الضباط يتوقع اجراء بعض التنقلات بين ضباط البوليس في اللواء في مطلع الشهر القادم. توزيع اغنام وصل الي المحجر الصحي « الكور نتينا » في اللد ما يقرب من الفي راس غنم وخمسمايه راس بقر فوزعت علي المناطق المختلفه الكميات الاسبوعيه حسب المخصصه لها…
1942-12-28	difaa	ar	difaa19421228-01.1.2	quarantine_station	المحجر الصحي		page		plague		…س نقيا وقد لفت السكان دايره المءن لذلك وفاه مصاب بالطاعون ذكرنا امس ان دايره الصحه نقلت السيد محمد علي ابو شندي من سكان شارع العالم بمحله المنشيه الي المحجر الصحي في المدينه للاشتباه بانه مصاب بمرض الطاعون ، وقد علمنا انه نقل صباح امس الي مستشفي في براق علي طريق ا ملبس المنه لم يابث ان توفي متاثر اباصابته، و وق…
1943-01-21	difaa	ar	difaa19430121-01.1.2	infectious_hospital	مستشفي الامراض المعديه		page				…جديد ويجري فرش الشوارع الموحله في مناطق الكرتون وسوق الكرمل والمنشيه بطيقه من الرمل مبالغه في النظافه اما الشخص الذي نقل امس الاول من محله النزهه الي مستشفي الامراض المعديه فحالته لا باس بها…
1943-01-21	difaa	ar	difaa19430121-01.1.2	infectious_hospital	مستشفي الامراض المعديه		page				…توفيت في مستشفي الامراض المعديه في بني براق يوم امس السيده امينه محمد وهي من سكان سوق اليهود في محله…
1943-02-02	difaa	ar	difaa19430202-01.1.2	infectious_hospital	مستشفي الامراض المعديه		page			y	…نقل امس الي مستشفي الحكومه اللامراض المعديه علي طريق ملبس شخصان يشتبه في اصابتهما وكانا قد نقلا الي المستشفي الفرنسي فاشتبه بعرضها فطلب نقلها الي مستشفي الامراض المعديه علي الاثر…
1943-02-12	difaa	ar	difaa19430212-01.1.2	infectious_hospital	مستشفي الامراض الساريه		page		plague		…صاب به ان يشفي اذا اكتشفت اصابته حين وقوعها، وبهذه المناسبه تذكر ان عدد المصابين بلغ حتي امس ١٤ شخصا تو في منهم ٦ وشفي الباقون . وقد نقل صباح امس الي مستشفي الامراض الساريه رجل اسمه حبيب كوهين يسكن في حي جامع حسن بك بالمنشيه، ومشتبه في انه مصاب بالطاعون…
1943-05-28	difaa	ar	difaa19430528-01.1.2	quarantine_station	الحجر الصحي		page				…ي الحمضيات هو مرض الحرشفه السوداء ويمكن اعتباره المدو رقم واحد . وكان هذا المرض يتركز في السنوات الماضيه في مناطق معينه وكانت مصلحه وقايه النبات تفرض الحجر الصحي علي هذه المناطق. لكن الاجراءات الغيت مده الحرب…
1943-12-22	difaa	ar	difaa19431222-01.1.2	quarantine_station	المحجر عتليت		page			y	…مهاجرون من اليمن ٦٠٠ وصل الي فلسطين مءخرا. مهاجر يهودي من بلاد اليمن وعدن فنقلوا المحجر عتليت حتي يفحصوا واطلق امس سراح . ۳۰۰ مهاجر منهم بعد ان تم فحصهم طبيا وسيطلق سراح الباقين هذا الاسبوع. في الجبنه ( الكشكوان ) وزعت دايره مراقبه التموين كمي…
1944-02-01	difaa	ar	difaa19440201-01.1.2	kerentina	الكرنتينا	Jaffa	page		typhus	y	…فقي وفرقتها لاسباب قاهره لم تتمكن فرقه سهام رفقي من الحضور الي يافا كما اعلن سابقا وسيعلن عن موعد حفلاتها في وقت قريب اصابتان بالتيفوس نقل الي مستشفي الكرنتينا بيافا منذ اربعه ايام عيسي ياسين ابو سيدو من غزه والبالغ من العمر ٣٠ سنه للاشتباه باته مصاب بمرض التيفوض ، وقد تلقت دايره صحه يافا امس ما يقيد صحه اصا…
1944-02-16	difaa	ar	difaa19440216-01.1.2	kerentina	الكرنتينا	Jaffa	page			y	…ت الي المستشفي المذكور واتخذت التدابير اللازمه في مثل هذه الحالات منعا لانتقال عدوي المرض الي اخرين ممن كان لهم اتصال بالمراه المصابه ونقل الي مستشفي الكرنتينا بيافا امس شخصان من الذين سبق ان احتجزتهم ! دايره الصحه…
1944-02-18	difaa	ar	difaa19440218-01.1.2	kerentina	الكرنتينا		other:Jerusalem	Jerusalem	typhus		…رهما و اختارت . الهستدروت مندوبيها لهذا المءتمر وبينهم غولدا ما يرسون زعيمه العمال المعروفه . اصابه اشخاص بالتيفوس تلقت دايره صحه اللواء من مستشفي M. الكرنتينا بيا فاما يفيد صحه اصابه الاشخاص الاتيه اسماءهم بمرض التيفوس وهم : جباره حامد صبري من بير السبع وعمره ۲۰ سنه واحمد عيد سعيد من بير السبع ايضا وعمره كذ…
1944-02-29	difaa	ar	difaa19440229-01.1.3	quarantine_station	المحجر الصحي	الطور	other:Gaza	Gaza			…قابه كل توفيق ونجاح . اعلمتنا دايره الصحه اليوم انه يترتب علي جميع الحجاج الذين عادوا من الديار المقدسه في هذا العام ان يراجعوها لقبض تاميناتهم ورسوم المحجر الصحي في الطور وذلك ابتداء من يوم الاتنين القادم في ٦ اذار سنه ٩٤٤…
1944-03-12	difaa	ar	difaa19440312-01.1.2	kerentina	الكرنتينا		paragraph				… اليوم علاقه بهذا الامر .. تامينات الحجاج. صرفت دايره الصحه بيافا امس تامينات حجاج الموسم الماضي وهي المبالغ التي دفعوها قبل سفرهم ( ديبوزيتو ( ورسوم الكرنتينا…
1944-04-16	difaa	ar	difaa19440416-01.1.3	quarantine_station	الحجر الصحي	عتليت	dateline	Haifa			…اجعه البلديه قبل اول ايار القادم للحصول علي هذه الاوزان وصل الي حيفا قطار يحمل ۲۵۰ مهاجرا يهوديا من رومانيا وقد جاوا - عن طريق تركيا وارسلوا حالا الي الحجر الصحي في عتليت الاجتماع الشهري لمخاتير قري القضاء عقد الاجتماع الشهري لمخاتير القضاء في قاعه جمعيه العمال العربيه بحضور ممثلي الحكومه وقد تكلم مندوب دايره …
1944-04-20	difaa	ar	difaa19440420-01.1.2	kerentina	الكرنتينا		page				…حمد سلامه من زرنوقا وغيره ۳۰ سنه وجميله عبيد ياسين من الفالوجه وعمرها ٢٧ سنه ومحمد محمود الدالي من خانيونس وعمره تسع سنوات وقد دخلوا جميعا الي مستشفي الكرنتينا بيا فا و اتخذت الاحتياطات المناسبه لوقايه من كان مختلط بهم . انذار من بلديه تل ابيب استقبل رييس بلديه تل ابيب بالوكاله…
1944-04-24	difaa	ar	difaa19440424-01.1.3	quarantine_station	الحجر الصحي		page				…رفع الحجر الصحي لعدم ظهور اصابات جديده المجدل في ٢٣ نيسان - المراسل الدفاع الخاص - رفع امس الحجر الصحي عن الاعراب المقيمين في اطراف المدينه لعدم ظهور اصابات جديده بي…
1944-04-25	difaa	ar	difaa19440425-01.1.2	quarantine_station	الحجر الصحي		page		smallpox		…تلقت دايره الصحه في يافا امس ما يفيد، ثبوت اصابه الاشخاص الثلاثه الاتيه اسماءهم بمرض الجدري وكلهم من محله المسكوبيه التي تم الحجر الصحي علي سكانها منذ ايام والمصابون هم ابراهيم مسعود سليم وعمره ٢٤ سنه وابراهيم حسن سلامه وعمره ٢٥ سنه وعلي سلام سلامه وعمره ٣٠ سنه وقد ذكر انا الطبيب المخ…
1944-04-25	difaa	ar	difaa19440425-01.1.2	kerentina	الكرنتينا		page		smallpox	y	…الصحيه اللازمه في مثل هذه الحالات فقتشت بيوت المحله كلها وارسل من اشتبه بهم الي مستشفي الكرنتينا للتثبت من نوع مرضهم . وقد افتتحت دايره الصحه امس خمسه مراكز ثابته لتلقيح السكان ضد الجدري اولها في محله المنشيه في مركز رعايه الطفل والثاني في مدرسه …
1944-05-02	difaa	ar	difaa19440502-01.1.2	kerentina	الكرنتينا	Jaffa	page		smallpox		…ه الدكتور سعيد الدجاني لمعاوده البحث في موضوع انشاء مستوصف للجمعيه واقرار الخطه التي يمكن بها تنفيذ هذا المشروع . اضابه جديده بالجدري تقلت الي مستشفي الكرنتينا بيافا منذ ايام جازيه سالم بزهم من غزه البالغه من العمر ٥٤ سنه وقد اشتبه باصابتها بمرض الجدري ، وقد تلقت دايره الصحه في المدينه امس ما يفيد صحه اصابته…
1944-05-03	difaa	ar	difaa19440503-01.1.2	quarantine_station	المحجر الصحي		window				…ين رومانيين وصل الي حيفا في الساعه التاسعه من صباح امس فوج من يهود رومانيا مءلف من ۱۳۰ مهاجرا معظمهم من الاولاد وقد جاءوا في القطار وتابعوا السفر الي المحجر الصحي في عقليت وهم ا من يهود عبر الدنيستر علي حدودرومانيا.…
1944-05-03	difaa	ar	difaa19440503-01.1.2	kerentina	الكرنتينا		page			y	…د السلمان ابو زهري من السافريه وعمره ٣٠ سنه وعوض حمدان من القريه ذاتها وعمره ٤٠ سنه ومحمد عبد الله من خانيونس وعمره ٢٠ سنه وقد نقلوا جميعا الي مستشفي الكرنتينا بالاشتباه الي…
1944-05-03	difaa	ar	difaa19440503-01.1.2	quarantine_station	الحجر الصحي		page				…ان ظهرت صحه اصاباتهم. هذا ولا يزال الحجر الصحي مضروبا علي سكان محله المسكوبيه حتي الان . وتلفت دايره الصحه ايضا نتيجه التحليل الطبي وانكشف علي كل من خالد محمد اسماعيل من سوق الدير وعمره 60 سنه ويو…
1944-05-19	difaa	ar	difaa19440519-01.1.3	kerentina	الكرنتينا		dateline	Haifa	smallpox	y	…ينما - طلب الجمعيه العمال انتشر مرض الجدري في بعض احياء المدينه وبلد الشيخ وقد تولت دايره الصحه اتخاذ التدابير اللازمه ونقلت جميع المصابين الي مستشفي الكرنتينا ولا تزال حركه التطعيم ضد هذا المرض ناشطه عرضت سياره السينما المتجوله التابعه لمكتب المطبوعات بالقدس بعض الافلام الزراعيه والحربيه وستعرض مثلها خلال ه…
1944-06-01	difaa	ar	difaa19440601-01.1.2	quarantine_station	الحجر الصحي		page		smallpox|typhus	y	…ء في دافار ان طفله من مستعمره ديران اسمها لينا مرغلیت و عمرها سنتان اصيبت بالجدري وقد نقلت الي المستشفي الحكومي للامراض الساريه علي طريق ملبس وقد فرض الحجر الصحي علي افراد عايلتها ، اما سكان المستعمره فقد تقرر تطعيمهم جميعا. اصابات جديده بالتيفوس 4 تلقت دايره الصحه بيافا امس نتايج الطبي الذي اجري للاشخاص الفحص…
1944-06-08	difaa	ar	difaa19440608-01.1.3	quarantine_station	والحجر الصحي		page				…لجويه ومصالح الشءون الاقتصاديه والماليه والدفاع السلبي الاثار والصيدليات ومكتب القطع . والرقابه الصحيه والبيطريه وحمايه الملكيه ومراقبه البرق والبريد والحجر الصحي ومراقبه السكك الحديديه وميناء بيروت. ولا تزال المفاوضات جاريه بصدد تسلم | الجيش ومصلحه الامن العام…
1944-06-13	difaa	ar	difaa19440613-01.1.2	kerentina	الكرنتينا	Jaffa	page		smallpox	y	… عبد الرحيم من اهالي قريه من اهالي قريه مرسي و مرده ، اسنوات النعانه وعمره ٢٢ سنه ومحمود احمد محمد من وعمره ١٠ بمرض الجدري ، وكانا قد نقلا الي مستشفي الكرنتينا بيافا منذ ايام بالاشتباه واتخذت الدايره التدابير المناسبه لوقايه من كانوا يختلطون بهما. في المحاكم . نظارت المحكمه المركزيه امس بصفتها محكمه استيناف …
1944-07-26	difaa	ar	difaa19440726-01.1.3	kerentina	الكرنتينا		window				…فادها لانها مجدوده : كلمه شكر ا تقدم بالشكر العظيم لطبيب مستشفي الحكومه. بيا فا وامور الضالتهم للعنايه التي لاقيتها منهم جميعا اثناء امراضي في مستشفي الكرنتينا . جزاهم الله جميعا عني احسن ا محمد مصلح الترك الجزاء اعلان من بلديه حيفا لیکن معلوما. الجميع سكان مدينه حيفا ان القصابين في حيفا قد صار انذارهم قورا …
1944-08-24	difaa	ar	difaa19440824-01.1.2	infectious_hospital	مستشفي الحكومه الامراض الساريه		page				…المحلل البكتريولجي جاء الي يافا امس الدكتور كركود كريكوريان المحلل البكتريولجي في دايره الصحه العامه وبعد ان اجتمع برييس اطباء المواء برهه ذهب الي مستشفي الحكومه الامراض الساريه الواقع علي طریق ملبس و تفقده كما تفقد المختبر الذي فيه…
1944-09-11	difaa	ar	difaa19440911-01.1.2	infectious_hospital	مستشفي الامراض الساريه		page		plague		…تشفي الحكومه للمعالجه اصابه جديده بالطاعون وقعت اصابه جديده بالطاعون في مستعمره ملبس والمصاب هو جوزيف سمحي من يهود اليمن وعمره ثلاثون سنه وقد نقل الي مستشفي الامراض الساريه…
1944-10-13	difaa	ar	difaa19441013-01.1.2	quarantine_station	المحجر الصحي		window			y	…۲۰ مهاجرا جديدا مهاجر ايهوديا وصل الي حيفا امس عشرون ا يهوديا جديدا بينهم ١٦ مهاجرا من يهود تركيا و ٤ من بود بلغاريا وقد نقلوا الي المحجر الصحي…
1944-10-22	difaa	ar	difaa19441022-01.1.2	kerentina	الكرنتينا	Jaffa	page		typhus		…اصابه تيفوس تءدي للوفاه توفي في مستشفي الكرنتينا بيافا امس محمود مصطفي قاعود من يافا البالغ من العمر ٣٠ سنه من جراء اصابته بمرض التيفوس وقد حولت اوراقه الي القايمقام كما هي العاده .…
1944-10-22	difaa	ar	difaa19441022-01.1.3	quarantine_station	الحجر الصحي		page		plague		…جال البوليس واعتقلت بعض الاشخاص والتحقيقات لا تزال جاريه قامت دايره الصحه هنا بتبخير المنزل--الذي وقعت فيه اصابه الطاعون في الاسبوع الماضي واعلن عليه الحجر الصحي لمده ٤٨ ساعه بوشر في توزيع الارز علي الاهالي بمعدل نصف كيلو للشخص الواحد بسعر ٥٠ ملايكيلو منذ الاسبوع الماضي اصبح الدقيق يوزع علي الاهالي عن كل اسبوع…
1944-10-26	difaa	ar	difaa19441026-01.1.2	quarantine_station	الحجر الصحي		page				… الاميركيه وعدم بيعها في محلاتم واقسم الجميع علي ذلك وارد اوا كتابا الي القنصل الاميركي بالقدس بهذا الخصوص. ٢٧ الف حاج تقول برقيه من القاهره ان مصلحه الحجر الصحي في مصر قد اعدت المعدات اللازمه لمواجهه الحجاج عند عودتهم . وتتوقع ان يصل عددهم الي ٢٧ الفا منهم ما يزيد علي ١٥ الفا من فلسطين وسوريا ولبنان والعراق .…
1944-11-03	difaa	ar	difaa19441103-01.1.2	quarantine_station	المحجر الصحي		page				…- و.ا.ع - باغ عدد الحجاج الذين عبروا قنال السويس الي الحجاز حتي الان ١٠٥ ١ من الحجاج منهم ٤٥٥٩ حاجا مصريا والبقيه من سوريا ولبنان وفلسطين رسافر موظفو المحجر الصحي ( الكرنتينا ) مءتمر رءساء بلديات الجنوب غزه - لمراسل الدفاع الخاص - يعقد مءتمر رءساء بلديات الجنوب في غزه يوم الاربعاء القادم الواقع في ٨ الجاري وذلك…
1944-11-03	difaa	ar	difaa19441103-01.1.2	kerentina	الكرنتينا		page				…دد الحجاج الذين عبروا قنال السويس الي الحجاز حتي الان ١٠٥ ١ من الحجاج منهم ٤٥٥٩ حاجا مصريا والبقيه من سوريا ولبنان وفلسطين رسافر موظفو المحجر الصحي ( الكرنتينا ) مءتمر رءساء بلديات الجنوب غزه - لمراسل الدفاع الخاص - يعقد مءتمر رءساء بلديات الجنوب في غزه يوم الاربعاء القادم الواقع في ٨ الجاري وذلك للبحث في ام…
1945-02-06	difaa	ar	difaa19450206-01.1.3	quarantine_station	المحجر الصحي		page			y	… الصحه العامه التوزيعها علي المستشفيات ۱۲۲ مهاجرا وصل الي فلسطين صباح امس قطار خاص وفيه ۱۲۲ مهاجرا يهوديا من بلاد اليمن وقد نزلوا في عتليت ونقلوا الي المحجر الصحي . عضو العمال الثالث جاءنا من جمعيه العمال العربيه بيافا ان السيد بولس فرح العضو الثالث في وفد عمال عرب فلسطين قد وصل الي لندن وان الجمعيه ارسلت برقيه…
1945-05-02	difaa	ar	difaa19450502-01.1.3	kerentina	الكرنتينا		page		typhus	y	…قرر الحاخامون اليهود المتدينون في العالم ان يعقدوه الرفض الصهيونيه واعاده كيان اليهود في الاقطار التي يعيشون فيها اصابه ثانيه بالتيفوس نقل الي مستشفي الكرنتينا بيانا امس جابر محمد ثلجي من قريه كدنه في قضاء الخليل و عمره ٣٥ سنه مصابا بالتيفوس . وقد اتخذت دايره الصحه كافه الترتيبات اللازمه . الوقايه الذين سبق …
1945-06-13	difaa	ar	difaa19450613-01.1.3	kerentina	الكرنتينا		page			y	…غرفه في مدرستها .. نقل الي مستشفي الحكومه بيانا - قسم الكرنتينا ضابط العجمي السابق السيد عاصم الاغا والمنقول مند مذه الي صرفند وهو في حاله الخطره اذ انه يشكو نزيف دم من فمه شفاه الله • قبض البوليس امس علي احمه حسن…
1945-06-20	difaa	ar	difaa19450620-01.1.2	quarantine_station	محجر عتليت		paragraph				…يه « بلوس اولترا ، وفيها ٤٠٠ مهاجر يهودي جاءوا من سويسرا عن طريق ميناء برشلونه وفي السفينه ايضا حموله من البضايع ، وقد بدا انزال المهاجرين ونقلوا الي محجر عتليت الضحي ، ويستبحر هذه السفينه راجعه وفيها ٨٠ : يهوديا قرروا النزوح من فلسطين الي اميركا وغيرها جامع لقريه دوره الخليل الخليل توجه الي قريه دوره امس فضي…
1945-07-12	difaa	ar	difaa19450712-01.1.3	kerentina	الكرنتينا		paragraph				…وي و باطلاق الرصاص عليه بتاريخ ٨-٦-٤٥ في ال ا احدي بيارات القريه المذكوره . مات شخص في نحو الثلاثين من عمره ي امس فجاه عند ما كان يسير قرب مستشفي ر و الكرنتينا ولم تعرف هويته .. وحدت الجهود بين لجنتي البناء في البلديه ا والغرفه . وقررنا التعاون معا في المساعي م والاعمال للوصول الي النتيجه المرجوه ا سرق محمد …
1945-07-17	difaa	ar	difaa19450717-01.1.3	quarantine_station	المحجر الصحي	عتليت	window				…١٣١٤ مهاجرا وصلت الي ميناء حيفا امس باخره بريطانيه اسمها « متارويا » وفيها ١٣١٤ مهاجرا يهوديا من المانيا وايطاليا وانكلترا وقد انزلوا الي المحجر الصحي في عتليت يسرح فلا يجد ملابس جرت في محكمه صلح تل ابيب امس محاكم ارتور ار بيخار وهو يهودي كان متطوعا ثم سرح من الخدمه بتهمه انه وضع علي صدره مداليه عسك…
1945-10-25	difaa	ar	difaa19451025-01.1.3	kerentina	الكرنتينا	Jaffa	page		typhus	y	…نقلت الي مستشفي الكرنتينا بيافا الفتاه | حقيقه ابراهيم الصفدي من ما بود وعمرها ۲۱ سنه مصابه بمرض التيفوس، واتخذت التدابير الصحيه في مثل هذه الحالات…
