n	id	date	publication	title	snippet	forms
37	ahr19470202-01.1.4	2 February 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... בבעל הביון (בן ‭(30‬ ופצעו בכליוח, הפצוע נאסף !אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בתיפת• _תאוגות דרכים _כחיפיה. — ערף עבוול ...</div>"	spelled
38	ahr19470209-01.1.4	9 February 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... ‬ מהנפגעים הם ילדים — מוסרת לשכת המודיעין הממשלתית. <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה מוסר על ארבע תאונות דרכים שאירעו היום, ...</div>"	maqaf
39	ahr19470214-01.1.5	14 February 1947	ahr	Page 5	"<div class=""txtsearchsnippet"">... כנען נדרס ביום ד' בכביש חיפה־טירה. הו;ג נאסף אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ושם נקבע כי נגרם לו זעזוע מוח. ...</div>"	spelled
40	ahr19470214-01.1.8	14 February 1947	ahr	Page 8	"<div class=""txtsearchsnippet"">... על אי־תנועח j במושבה הגרמנית. הפצוע נאסף אל י <b class=""highlightcolor"">?ביה""ח הממשלתי.</b> I בתערוכת ""העת• !תערוכת ההסתדרות ב""ביחבו"" פתוחה מ־9 ...</div>"	abbreviated
41	ahr19470216-01.1.3	16 February 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... אחסר מוחמר' בן ‭. 18‬ במצב רציני הובאו אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
42	ahr19470216-01.1.4	16 February 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... המשםור, את המשמרות שנהגו עו־כה ללוות את האמבולנסים של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בתחומי העיר. להבא ימשיכו משמרות משטרה ללוות אח ...</div>"	maqaf
43	ahr19470318-01.1.3	18 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... מכונית־משא אזרחית. נג־ רם לה שבר בשוק־רגלד, ונאספה אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה. לאקדמיה בפאריז י. מוטולד, וא. קרוכמאלניק, תלמידי ...</div>"	maqaf
44	ahr19470320-01.1.3	20 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... ‬ כדורים התפוצצו והוא נפצע בשחי ידיו. נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> • תייליפ מתנפליפ ושודדימ ברחוב שדרות הכרמל, התנפלו ...</div>"	maqaf
45	ahr19470321-01.1.10	21 March 1947	ahr	Page 10	"<div class=""txtsearchsnippet"">... בידי יהודי שנפצע ונאסף אל בית־חולים צבאי ומשם אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> המקרה קרר, ברח' םירקין. הפצצה התפוצצה בידי בחור ...</div>"	maqaf
46	ahr19470323-01.1.3	23 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... שגנב את כספו הכהו בראשו בעל־הדירר, הפצוע נאסף אל <b class=""highlightcolor"">_בית־החולים _הממשלתי</b></div>"	maqaf
47	ahr19470324-01.1.3	24 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... נורה במוצאי־שבת ע""י אלמוני. פצוע בירו השמאלית הובא אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בוועדת התרכות שליד מ. ש. ח. בחוג לבעיות ...</div>"	maqaf
48	ahr19470326-01.1.3	26 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... סטאגטרן על־ידי מבינית־מניא‭. -‬גגרם לו שבר בזרוע וגאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> נחש הכישו בווץריו אי סרים (מחוז חיכה) הכיש ...</div>"	abbreviated
49	ahr19470327-01.1.3	27 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... אל אווי ליד כורדאני. בעל־הדירה נפצע בירך ונאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה.</div>"	spelled
50	ahr19470327-01.1.4	27 March 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... מוחמד _אחמד מוסד. נמצא ב־23 במארס, סמוך לכניסה של <b class=""highlightcolor"">ביה""ח הממשלתי,</b> כשהוא פצוע באופן רציני. הוא הוכנס לנית""החולים ושם ...</div>"	abbreviated
51	ahr19470330-01.1.3	30 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... פגעה בידו — ופצעה. כל הנפגעים הנ""ל נאספו »ל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> נפצעו כתאונת""דרכיפ סדר עבד אבו חסן, בן ...</div>"	spelled
52	ahr19470330-01.1.4	30 March 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... שרייבר (בת ‭. (3i‬ מלבד הפועל שמת נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> גם נהג המכונית הצבאית. התנקשות. — אלמוני ...</div>"	spelled
53	ahr19470406-01.1.4	6 April 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... ימונים כתגובה על פיצוץ הבאר בקרית־חיים — נאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בתיפה. נגרם לו שבר בעצמות ר‭', ‬־די0 _ופצע־פ ...</div>"	abbreviated
54	ahr19470415-01.1.3	15 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... ברהם אסעו, בן ‭, 27‬כתוצאה מקטטה. הוא נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי,</b> דליקה בדירה ברחוב הגלעד 38 פרצה דליקה, בהתלקח ...</div>"	maqaf
55	ahr19470416-01.1.1	16 April 1947	ahr	Page 1	"<div class=""txtsearchsnippet"">קהל, ביניהם _מבתי־החרושת, נהרו אל <b class=""highlightcolor"">בית־החולים הממשלתי'</b> שמשם יצאה ההלווייה. הגי ודיית, שהיו עטופות דגלי ...</div>"	maqaf
56	ahr19470416-01.1.3	16 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... פפח לשלוח י ד בנפשה בצורה דומה. גווייחה הועברה <b class=""highlightcolor"">?_בית־החולים הממשלתי</b> בפרדס בייץ י יבדיקה. הרעילו קיבותיהם בגבינה 5 ...</div>"	maqaf
57	ahr19470420-01.1.3	20 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... שבר ביד ופי . גלים כפנים ובראש. נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> בוועדת התרבות שליד מ. פ. ח. ח- ...</div>"	spelled
58	ahr19470421-01.1.3	21 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... עכו, נורה _במוצאי־שבת בגבו ע""י אלמוניכ. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. כתערוכת ההפתדרדת תערוכת ההסתדרות ב""ביתנו"" פתוחה ...</div>"	spelled
59	ahr19470422-01.1.3	22 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... מחה""צ• נגרם דו שבר בגולגו־ יי ת ונאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> קרנות מיוהדות בהדודאה וחסכון' "" בשנת 1946 הופעלו ...</div>"	maqaf
60	ahr19470507-01.1.4	7 May 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... ראובן בן יקותיאל סטאן מתי'א — נפצע ונאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה, מצבו אינר קשה. הפצוע נעצר לצורכי חקירה. ...</div>"	abbreviated
61	ahr19470512-01.1.3	12 May 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... נדרסה בשבת ע""י מכונית־משא אזרחית. במצב קשה הובאה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה? ילד מת בנפילה לבדר עוואו _אחמו ו1מרי ...</div>"	maqaf
62	ahr19470516-01.1.10	16 May 1947	ahr	Page 10	"<div class=""txtsearchsnippet"">... ג י ט ה — נחבלו. _כולס הועברו אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו ע""י מכונית מ. ד, א. רחובות. _ב־9 ...</div>"	abbreviated
63	ahr19470518-01.1.4	18 May 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... הנוסעים‭2, ‬ הפצועים האנגלים נאספו ע""י ""מגן־דוד אוום"" אל <b class=""highlightcolor"">בית־החולים הממשלתי,</b> מנד""א הגיש עזרה גם לאשתו שד ד""ר י. ...</div>"	maqaf
64	ahr19470526-01.1.3	26 May 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... מחמוד אברהם הובא מת במרצאי י רם הי אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה. נדום ע""י מכונית. הוא כנראה מג'נין כבן ...</div>"	maqaf
65	ahr19470528-01.1.3	28 May 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בהר הכרמל, נגרם פצע מיריד, כירך. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ומת למחרת בבוקר. פקיד דואר נאשם במעילה ...</div>"	maqaf
66	ahr19470608-01.1.3	8 June 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בכית־קפה, נגרם שבר ברגל בשעת קטטה. הפצועים נאםפי אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> _םכסדך כין _מלהימ פצעים קשים נגרמו למוצטפה אחמו ...</div>"	maqaf
67	ahr19470624-01.1.2	24 June 1947	ahr	Page 2	"<div class=""txtsearchsnippet"">... החויי , זה ם ' ""הרסה _ דהו ‭(""‬ <b class=""highlightcolor"">בית חולים ממשלתי</b> , שאלה: — מהם בניינים מפוארים איה ...</div>"	indefinite
68	ahr19470713-01.1.3	13 July 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בהתפוצצה ברמה לו המציאה פצעים קשים והוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה• מצב העבודה מספר מבקשי־העבודה גול מחודש ...</div>"	spelled
69	ahr19470715-01.1.3	15 July 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... חיפה—עכו. 3 _נוםעי הטאכסי הערבים נפצעו. הם נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
70	ahr19470716-01.1.3	16 July 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... השמאלית, וי ש חשש לשבר בגולגולת. הפצועים נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> זו בקומקום, וזו _בפדימוס ? ילדה בת ...</div>"	spelled
71	ahr19470720-01.1.1	20 July 1947	ahr	Page 1	"<div class=""txtsearchsnippet"">... 1832 גברים‭1602, ‬ נשים‭955, ‬ ילדים. החולים שנשלחו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> הם ל1 גברים' 0נ נשים וילד אחד‭22. ‬ ...</div>"	maqaf
72	ahr19470722-01.1.4	22 July 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... מוחמד, בן ‭, 23‬נפצע ביריד. בירך. הס הובאו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ומצבם משי חפר. בםטלדי מאריס נהרםר בניינים. לשני ...</div>"	maqaf
73	ahr19470723-01.1.4	23 July 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... האחרונה בהלרויחו השתתפו מאות אנשים, שבאו באוטובוסים מהדר־הכרמל אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> בין. המשתתפים — נציגי וועד הקהילה. בין ...</div>"	spelled
74	ahr19470725-01.1.9	25 July 1947	ahr	Page 9	"<div class=""txtsearchsnippet"">... לםאויקה סלים בא־ וואן, בת ‭. 18‬הפצועות נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. מכונית פוגעת מכונית אזרחית פגעה ביום ...</div>"	maqaf,spelled
75	ahr19470801-01.1.11	1 August 1947	ahr	Page 11	"<div class=""txtsearchsnippet"">... עבודה ביום ד' מגדבה 5 מ. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> אלמוני נדרם ומת בהתנגשות מכוניות נפצע אור ...</div>"	spelled
76	ahr19470807-01.1.4	7 August 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... אחרים שנמצאד על גבות _וכחצררת בסביכה הקרובה רהועברו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו של השוטר הערבי _שגפצע אתמול בשעת עבודת ...</div>"	maqaf
77	ahr19470815-01.1.1	15 August 1947	ahr	Page 1	"<div class=""txtsearchsnippet"">... הרצלי וביאליק, בשעת ההתפוצצות במכונית הטאכםיהועבר _מביתיהחולים רוטשילד אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> _שוהררו‭—. ‬ שניים מבין שלושת עצורי ליל היריות ...</div>"	maqaf
78	ahr19470901-01.1.3	1 September 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... הצבאית פגעה בא. הורוביץ שנהרג במקום. גופתו נאספה אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> תורנות כתי המדקהת _הח_/וץ, וזו' החמץ 2ז</div>"	spelled
79	ahr19470918-01.1.3	18 September 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... דקרו 3 דקירות בגבו‭2. ‬ הפצועים נאספו אל ו <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. מצבם I אינו מסוכן. כוועדת התרבות שליד ...</div>"	maqaf
80	ahr19470918-01.1.4	18 September 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... על־ידי כלבי שומרים. הרו־ | עים הפצועים נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה‭!. ‬ שלושת הרועים סירבו לרדת מעל האדמה, ...</div>"	maqaf
81	ahr19470930-01.1.4	30 September 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... מיותרים. רכים מהפצועים הם מרסיסי זכוכית. הם נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> וקיבלו שם עזרה‭"", ‬מד. א‭"". ‬ טיפל בזז ...</div>"	maqaf
82	ahr19471005-01.1.8	5 October 1947	ahr	Page 8	"<div class=""txtsearchsnippet"">... ‭-'‬לא ראו ולא שמעו ובר. גופות הנרצחים הועברו _י <b class=""highlightcolor"">ביה'ח הממשלתי</b> בפרדס כץ. הנח הנס ליבנברג, חייל משוחרר, אשד, ...</div>"	abbreviated
83	ahr19471007-01.1.3	7 October 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... 28‬הוא נורה ע""י אלמוני בכפרו וואסה _ח, נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בהיפר, ושם מת למחרת בבוקר. גניבה כלי בית ...</div>"	maqaf
84	ahr19471007-01.1.4	7 October 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... נפצע. המת והפציע הועברו על יוי משטרת רחובות אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו.</div>"	spelled
85	ahr19471019-01.1.3	19 October 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בחיפה שיושר, כדורים כגעו בגופו במצב קשה נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> במקום נמצאו אחו־ :ך ארבעה תרמילי אקדח ...</div>"	spelled
86	ahr19471020-01.1.3	20 October 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... נעצר ונורה ברגלי ע""י השוטר הפצוע נאסף במוצ''_ש אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> _בח־פה זריקות חיסרן נגד חולירע הנהית ־וכת־חולים בחיפה ...</div>"	abbreviated
87	ahr19471024-01.1.9	24 October 1947	ahr	Page 9	"<div class=""txtsearchsnippet"">... גימאל אם־ לאן, כן ‭, 12‬נפצע ברגלו ונאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה. השבת בוועדת התרבות קונצרט זמרה של סידור ...</div>"	abbreviated
88	ahr19471028-01.1.4	28 October 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... _בחחומי איזור הבטחון, שישמשו אגף נוסף למחלקה הבריטית של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> הסמוך. כזכור, הועברו משרדי חברת ""של"" לרחוב ממילא ...</div>"	maqaf
89	ahr19471102-01.1.4	2 November 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... הועבר במכונית משטרה מלווה משמר חזק ומכונית משוריינת אי־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> ריפו.</div>"	abbreviated
90	ahr19471103-01.1.4	3 November 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... י לדת בת ד, וגרם למותה. גונתה נאספה אל <b class=""highlightcolor"">_ביה''ח הממשלתי.</b> פצ יי ‭:- _^‬ ה קשים התפוצצה ברגל ...</div>"	abbreviated
91	ahr19471106-01.1.3	6 November 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... 2 ערבים, שנדקרו בסכינים בקטטות, הובאו ביום ג' אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. שכד דל‭. _/, ‬גנב ונעצר פקודת־מעצר לשבועיים ...</div>"	maqaf
